NoAffS,VL,VC,Time,Result
7,5485,16318,30.37,0
22,2789,8418,30.43,0
57,8020,23766,30.4,0
57,8020,23766,30.35,0
32,2789,8418,30.39,0
14,8020,23766,30.38,0
32,2789,8418,30.39,0
22,2789,8418,30.4,0
32,2789,8418,30.41,0
7,5485,16318,30.46,0
7,5485,16318,30.36,0
14,8020,23766,30.39,0
57,8020,23766,30.39,0
14,8020,23766,30.39,0
32,2789,8418,30.4,0
7,5485,16318,30.36,0
14,8020,23766,30.38,0
22,2789,8418,30.44,0
57,8020,23766,30.43,0
14,8020,23766,30.36,0
32,2789,8418,30.44,0
14,8020,23766,30.38,0
22,2789,8418,30.45,0
14,8020,23766,30.38,0
14,8020,23766,30.42,0
57,8020,23766,30.41,0
57,8020,23766,30.4,0
22,2789,8418,30.46,0
14,8020,23766,30.4,0
22,2789,8418,30.44,0
