NoAffS,VL,VC,Time,Result
14,8020,23766,30.42,0
14,8020,23766,30.43,0
62,8020,23766,30.34,0
22,2789,8418,30.41,0
14,8020,23766,30.34,0
14,8020,23766,30.39,0
14,8020,23766,30.36,0
14,8020,23766,30.44,0
25,2789,8418,30.4,0
25,2789,8418,30.48,0
14,8020,23766,30.37,0
14,8020,23766,30.45,0
25,2789,8418,30.43,0
14,8020,23766,30.38,0
14,8020,23766,30.38,0
14,8020,23766,30.43,0
25,2789,8418,30.41,0
14,8020,23766,30.43,0
25,2789,8418,30.44,0
25,2789,8418,30.44,0
14,8020,23766,30.38,0
14,8020,23766,30.37,0
22,2789,8418,30.44,0
62,8020,23766,30.4,0
62,8020,23766,30.42,0
14,8020,23766,30.43,0
25,2789,8418,30.48,0
14,8020,23766,30.37,0
14,8020,23766,30.39,0
14,8020,23766,30.4,0
