NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
593,1448,392,39.0,1,326,194,214
593,1448,392,40.79,1,326,194,214
593,1448,392,41.14,1,326,194,214
593,1448,392,40.8,1,326,194,214
593,1448,392,38.4,1,326,194,214
593,1448,392,37.76,1,326,194,214
593,1448,392,38.21,1,326,194,214
593,1448,392,39.83,1,326,194,214
593,1448,392,38.53,1,326,194,214
593,1448,392,39.44,1,326,194,214
