NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
1150,778,290,15.57,1,,,124
1568,778,290,15.5,1,,,104
1143,778,290,10.98,1,,,17
1113,778,290,12.34,1,,,91
1110,778,290,13.64,1,,,88
1113,778,290,12.59,1,,,91
1110,778,290,12.89,1,,,88
1598,778,290,14.44,1,,,130
1077,778,290,11.79,1,,,51
1126,778,290,12.95,1,,,104
1113,778,290,12.34,1,,,91
1110,778,290,13.74,1,,,88
1126,778,290,13.13,1,,,104
1151,778,290,10.95,1,,,21
1113,778,290,12.75,1,,,91
1152,778,290,15.73,1,,,130
1110,778,290,13.37,1,,,88
1598,778,290,15.42,1,,,130
1110,778,290,13.83,1,,,88
1152,778,290,15.52,1,,,130
1598,778,290,14.98,1,,,130
1143,778,290,10.91,1,,,17
1126,778,290,12.42,1,,,104
1110,778,290,13.62,1,,,88
1113,778,290,14.01,1,,,91
1126,778,290,12.81,1,,,104
1093,778,290,12.97,1,,,67
1113,778,290,12.47,1,,,91
1113,778,290,12.35,1,,,91
1110,778,290,13.26,1,,,88
