NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
929,647,204,9.13,1,,,36
929,647,204,8.42,1,,,36
929,647,204,9.06,1,,,36
929,647,204,9.38,1,,,36
911,647,204,8.63,1,,,14
929,647,204,7.76,1,,,36
911,647,204,8.47,1,,,14
922,647,204,9.44,1,,,25
929,647,204,9.06,1,,,36
933,647,204,7.77,1,,,36
933,647,204,9.25,1,,,36
933,647,204,9.2,1,,,36
929,647,204,7.7,1,,,36
933,647,204,9.14,1,,,36
929,647,204,8.98,1,,,36
917,647,204,8.05,1,,,24
927,647,204,9.08,1,,,30
927,647,204,9.12,1,,,30
929,647,204,8.44,1,,,36
933,647,204,9.21,1,,,36
929,647,204,8.98,1,,,36
929,647,204,8.99,1,,,36
929,647,204,8.44,1,,,36
929,647,204,7.72,1,,,36
933,647,204,7.83,1,,,36
929,647,204,9.08,1,,,36
929,647,204,7.88,1,,,36
933,647,204,9.04,1,,,36
929,647,204,9.03,1,,,36
929,647,204,9.0,1,,,36
