NoAffS,VL,VC,Time,Result
22,1435,4800,30.39,0
22,1435,4800,30.43,0
7,1354,4534,30.35,0
22,1435,4800,30.39,0
7,1354,4534,30.43,0
22,1435,4800,30.47,0
7,1354,4534,30.34,0
22,1435,4800,30.39,0
22,1435,4800,30.41,0
7,1354,4534,30.45,0
22,1435,4800,30.4,0
22,1435,4800,30.43,0
22,1435,4800,30.48,0
7,1354,4534,30.43,0
22,1435,4800,30.42,0
14,1435,4800,30.41,0
22,1435,4800,30.41,0
22,1435,4800,30.41,0
7,1354,4534,30.44,0
22,1435,4800,30.41,0
14,1435,4800,30.38,0
14,1435,4800,30.43,0
22,1435,4800,30.39,0
7,1354,4534,30.37,0
22,1435,4800,30.34,0
7,1354,4534,30.42,0
7,1354,4534,30.37,0
22,1435,4800,30.4,0
22,1435,4800,30.39,0
22,1435,4800,30.46,0
