NoAffS,VL,VC,Time,Result
7,1354,4534,30.49,0
7,1354,4534,30.5,0
26,1435,4800,30.31,0
14,1435,4800,30.44,0
7,1354,4534,30.53,0
14,1435,4800,30.42,0
14,1435,4800,30.39,0
26,1435,4800,30.44,0
7,1354,4534,30.51,0
14,1435,4800,30.44,0
7,1354,4534,30.5,0
14,1435,4800,30.43,0
14,1435,4800,30.4,0
14,1435,4800,30.41,0
26,1435,4800,30.47,0
14,1435,4800,30.4,0
14,1435,4800,30.4,0
14,1435,4800,30.43,0
7,1354,4534,30.51,0
14,1435,4800,30.41,0
7,1354,4534,30.51,0
14,1435,4800,30.43,0
26,1435,4800,30.47,0
7,1354,4534,30.54,0
7,1354,4534,30.49,0
14,1435,4800,30.44,0
7,1354,4534,30.51,0
26,1435,4800,30.43,0
14,1435,4800,30.43,0
14,1435,4800,30.41,0
