NoAffS,VL,VC,Time,Result
14,1435,4800,30.4,0
14,1435,4800,30.4,0
15,1354,4534,30.45,0
14,1435,4800,30.43,0
15,1354,4534,30.41,0
15,1354,4534,30.4,0
14,1435,4800,30.42,0
14,1435,4800,30.41,0
14,1435,4800,30.44,0
15,1354,4534,30.4,0
26,1435,4800,30.43,0
26,1435,4800,30.45,0
26,1435,4800,30.39,0
26,1435,4800,30.41,0
14,1435,4800,30.41,0
14,1435,4800,30.43,0
14,1435,4800,30.41,0
15,1354,4534,30.35,0
15,1354,4534,30.37,0
15,1354,4534,30.39,0
14,1435,4800,30.41,0
15,1354,4534,30.38,0
14,1435,4800,30.41,0
14,1435,4800,30.45,0
14,1435,4800,30.44,0
15,1354,4534,30.42,0
14,1435,4800,30.4,0
15,1354,4534,30.43,0
14,1435,4800,30.44,0
26,1435,4800,30.4,0
