NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
1215,133,42,10.7,1,,,40
1277,133,42,12.45,1,,,78
1215,133,42,11.28,1,,,40
1215,133,42,11.61,1,,,40
1639,133,42,12.95,1,,,89
1215,133,42,10.88,1,,,40
1639,133,42,12.12,1,,,89
1601,133,42,15.62,1,,,70
4757,151,44,29.72,1,,,268
1277,133,42,12.86,1,,,78
1277,133,42,12.87,1,,,78
4757,151,44,28.77,1,,,268
1040,133,42,8.89,1,,,45
1215,133,42,10.54,1,,,40
1215,133,42,10.94,1,,,40
1215,133,42,11.06,1,,,40
1601,133,42,15.37,1,,,70
1277,133,42,13.39,1,,,78
1497,133,42,12.96,1,,,81
1639,133,42,12.54,1,,,89
4757,151,44,29.23,1,,,268
1277,133,42,12.73,1,,,78
1639,133,42,12.21,1,,,89
1215,133,42,11.15,1,,,40
1277,133,42,13.26,1,,,78
1277,133,42,13.15,1,,,78
4757,151,44,31.07,1,,,268
1277,133,42,12.49,1,,,78
1601,133,42,17.36,1,,,70
2071,151,44,21.3,1,,,124
