NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
4621,159,46,32.1,1,,,266
1914,141,44,13.09,1,,,90
1773,159,46,19.82,1,,,82
1343,159,46,11.5,1,,,50
1773,159,46,20.4,1,,,82
1653,159,46,16.34,1,,,65
1582,159,46,13.8,1,,,64
1653,159,46,16.01,1,,,65
1754,159,46,15.54,1,,,74
1698,159,46,15.53,1,,,70
1773,159,46,21.19,1,,,82
1773,159,46,19.7,1,,,82
1773,159,46,19.19,1,,,82
1615,159,46,15.88,1,,,63
1754,159,46,14.61,1,,,74
1773,159,46,19.33,1,,,82
2161,141,44,18.75,1,,,99
1773,159,46,21.09,1,,,82
1281,141,44,10.4,1,,,36
1653,159,46,17.02,1,,,65
1748,141,44,16.08,1,,,74
1914,141,44,14.33,1,,,90
1281,141,44,10.27,1,,,36
1754,159,46,14.55,1,,,74
1281,141,44,9.97,1,,,36
1773,159,46,18.43,1,,,82
1773,159,46,20.16,1,,,82
2161,141,44,18.04,1,,,99
4621,159,46,30.63,1,,,266
1773,159,46,20.11,1,,,82
