NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
362,103,30,6.02,1,,,25
490,87,28,5.3,1,,,29
362,103,30,6.08,1,,,25
362,103,30,6.03,1,,,25
362,103,30,6.01,1,,,25
422,103,30,4.21,1,,,22
362,103,30,6.0,1,,,25
422,103,30,4.22,1,,,22
648,103,30,7.37,1,,,32
362,103,30,5.87,1,,,25
641,103,30,7.76,1,,,39
362,103,30,6.12,1,,,25
362,103,30,6.03,1,,,25
362,103,30,5.94,1,,,25
648,103,30,7.22,1,,,32
310,103,30,4.15,1,,,18
648,103,30,7.16,1,,,32
490,87,28,5.23,1,,,29
641,103,30,7.8,1,,,39
377,103,30,4.57,1,,,21
648,103,30,7.06,1,,,32
362,103,30,5.94,1,,,25
490,87,28,5.09,1,,,29
362,103,30,6.18,1,,,25
362,103,30,5.98,1,,,25
362,103,30,6.04,1,,,25
508,103,30,5.25,1,,,33
374,103,30,4.76,1,,,30
362,103,30,5.91,1,,,25
648,103,30,7.18,1,,,32
