NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
1696,149,48,15.83,1,,,56
2052,149,48,21.13,1,,,115
2054,149,48,23.21,1,,,134
2054,149,48,23.45,1,,,134
2287,149,48,28.94,1,,,142
1696,149,48,14.64,1,,,56
2054,149,48,23.63,1,,,134
2396,149,48,17.58,1,,,137
1695,165,50,14.06,1,,,114
2287,149,48,29.21,1,,,142
1696,149,48,14.0,1,,,56
2052,149,48,21.43,1,,,115
2287,149,48,28.55,1,,,142
2052,149,48,20.0,1,,,115
4589,149,48,41.03,1,,,480
2287,149,48,29.67,1,,,142
2396,149,48,17.34,1,,,137
2052,149,48,20.48,1,,,115
2054,149,48,23.47,1,,,134
2482,149,48,16.65,1,,,165
4861,149,48,45.2,1,,,514
2052,149,48,21.4,1,,,115
1687,149,48,14.76,1,,,89
2197,165,50,15.77,1,,,174
2287,149,48,29.92,1,,,142
1696,149,48,16.4,1,,,56
4861,149,48,43.4,1,,,514
2052,149,48,20.43,1,,,115
2925,149,48,27.01,1,,,274
2052,149,48,19.7,1,,,115
