NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
707,115,34,7.65,1,,,40
619,115,34,9.06,1,,,42
433,115,34,7.64,1,,,28
569,115,34,5.76,1,,,32
472,115,34,8.25,1,,,31
472,115,34,8.22,1,,,31
680,99,32,7.52,1,,,36
472,115,34,8.12,1,,,31
885,115,34,8.43,1,,,42
739,99,32,6.54,1,,,41
619,115,34,9.45,1,,,42
694,115,34,9.32,1,,,40
885,115,34,8.21,1,,,42
885,115,34,8.31,1,,,42
619,115,34,9.32,1,,,42
472,115,34,8.14,1,,,31
739,99,32,6.71,1,,,41
885,115,34,8.39,1,,,42
472,115,34,8.15,1,,,31
703,115,34,7.83,1,,,41
885,115,34,8.24,1,,,42
619,115,34,9.52,1,,,42
586,115,34,6.35,1,,,30
885,115,34,8.24,1,,,42
885,115,34,8.35,1,,,42
635,115,34,6.23,1,,,34
619,115,34,9.35,1,,,42
601,115,34,5.83,1,,,33
393,115,34,5.79,1,,,24
742,99,32,6.28,1,,,43
