NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
497,87,28,5.17,1,,,26
373,103,30,5.77,1,,,28
384,103,30,4.85,1,,,21
574,87,28,6.05,1,,,27
328,103,30,4.36,1,,,22
373,103,30,5.77,1,,,28
828,87,28,8.18,1,,,53
328,103,30,4.2,1,,,22
337,103,30,4.23,1,,,19
328,103,30,4.32,1,,,22
384,103,30,4.78,1,,,21
328,103,30,4.32,1,,,22
828,87,28,8.4,1,,,53
373,103,30,5.85,1,,,28
403,103,30,5.06,1,,,30
324,103,30,4.19,1,,,20
574,87,28,5.84,1,,,27
328,103,30,4.25,1,,,22
315,103,30,5.5,1,,,22
328,103,30,4.41,1,,,22
574,87,28,5.98,1,,,27
328,103,30,4.39,1,,,22
373,103,30,5.98,1,,,28
328,103,30,4.25,1,,,22
442,103,30,4.15,1,,,21
373,103,30,5.82,1,,,28
497,87,28,5.14,1,,,26
315,103,30,5.44,1,,,22
574,87,28,5.95,1,,,27
828,87,28,8.3,1,,,53
