NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
1631,133,42,25.51,1,,,154
1612,133,42,16.16,1,,,102
2812,133,42,24.72,1,,,337
1561,133,42,17.59,1,,,134
4303,133,42,44.72,1,,,605
1526,133,42,16.38,1,,,95
1149,133,42,11.86,1,,,51
1645,133,42,16.55,1,,,116
1645,133,42,16.11,1,,,116
1631,133,42,23.77,1,,,154
5486,133,42,53.41,1,,,888
1149,133,42,12.04,1,,,51
1149,133,42,12.23,1,,,51
4303,133,42,43.15,1,,,605
2812,133,42,24.38,1,,,337
949,133,42,12.11,1,,,57
1442,133,42,13.65,1,,,83
1631,133,42,24.43,1,,,154
1526,133,42,15.51,1,,,95
1631,133,42,24.49,1,,,154
1149,133,42,11.63,1,,,51
1526,133,42,16.26,1,,,95
1561,133,42,17.59,1,,,134
4101,133,42,39.47,1,,,532
1149,133,42,11.62,1,,,51
1149,133,42,12.11,1,,,51
1987,133,42,22.74,1,,,212
5486,133,42,51.51,1,,,888
1631,133,42,24.56,1,,,154
1631,133,42,24.26,1,,,154
