NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
1955,155,46,14.86,1,,,109
1183,139,44,14.81,1,,,87
2268,139,44,28.91,1,,,234
1651,155,46,17.06,1,,,116
1914,139,44,22.47,1,,,135
6164,155,46,22.39,1,,,154
1914,139,44,23.01,1,,,135
6164,155,46,23.13,1,,,154
1914,139,44,23.88,1,,,135
6164,155,46,21.9,1,,,154
1822,155,46,20.7,1,,,103
1914,139,44,23.85,1,,,135
2910,137,40,30.36,0,,,283
1914,139,44,23.28,1,,,135
1914,139,44,23.12,1,,,135
6164,155,46,21.77,1,,,154
1914,139,44,22.68,1,,,135
2541,155,46,30.34,0,,,367
1914,139,44,23.28,1,,,135
1955,155,46,14.83,1,,,109
1466,155,46,17.82,1,,,78
1389,155,46,15.47,1,,,74
2880,156,46,30.31,0,,,275
3033,155,46,30.35,0,,,299
1914,139,44,22.68,1,,,135
1822,155,46,19.67,1,,,103
1466,155,46,16.84,1,,,78
6164,155,46,23.85,1,,,154
2880,155,46,30.31,0,,,275
1529,155,46,17.58,1,,,87
