NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
1200,162,48,13.41,1,,,49
1265,162,48,12.57,1,,,69
1701,146,46,17.78,1,,,88
1701,146,46,17.32,1,,,88
1200,162,48,13.51,1,,,49
1200,162,48,13.39,1,,,49
1701,146,46,17.77,1,,,88
4675,146,46,23.34,1,,,128
1183,162,48,13.59,1,,,66
1200,162,48,13.14,1,,,49
1200,162,48,12.66,1,,,49
1158,162,48,13.07,1,,,47
1085,162,48,7.9,1,,,41
1701,146,46,17.24,1,,,88
1701,146,46,18.01,1,,,88
4675,146,46,22.65,1,,,128
1372,162,48,12.83,1,,,57
2769,146,46,17.89,1,,,193
1250,162,48,13.81,1,,,50
4675,146,46,21.77,1,,,128
4675,146,46,23.53,1,,,128
1085,162,48,8.23,1,,,41
1701,146,46,17.14,1,,,88
1183,162,48,13.29,1,,,66
4675,146,46,22.0,1,,,128
1701,146,46,17.18,1,,,88
1701,146,46,17.08,1,,,88
1701,146,46,17.33,1,,,88
1701,146,46,16.57,1,,,88
4019,146,46,21.09,1,,,186
