NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
1827,129,40,24.22,1,,,78
1734,129,40,16.0,1,,,34
2318,129,40,26.12,1,,,79
1827,129,40,23.49,1,,,78
1734,129,40,15.53,1,,,34
1827,129,40,26.11,1,,,78
1827,129,40,23.03,1,,,78
1734,129,40,15.19,1,,,34
2057,129,40,20.28,1,,,96
1163,129,40,17.56,1,,,36
2170,129,40,15.19,1,,,87
2170,129,40,16.95,1,,,87
1849,129,40,17.57,1,,,75
2144,129,40,19.05,1,,,92
1579,129,40,13.62,1,,,58
1827,129,40,23.5,1,,,78
1719,129,40,16.78,1,,,72
1581,129,40,16.94,1,,,58
1827,129,40,23.19,1,,,78
2208,129,40,16.12,1,,,96
1827,129,40,23.76,1,,,78
1163,129,40,16.35,1,,,36
2057,129,40,21.22,1,,,96
1883,145,42,30.32,0,,,60
1827,129,40,22.7,1,,,78
1827,129,40,23.41,1,,,78
3792,129,40,22.04,1,,,142
1163,129,40,17.21,1,,,36
1827,129,40,23.51,1,,,78
3286,129,40,19.78,1,,,133
