@relation training6

@attribute GNoAffS numeric
@attribute GVL numeric
@attribute GFTime numeric

@data
0.015873,0.953757,1
1,0,0.030287
0.404636,0.405514,0.073931
0.545477,0.849266,0.002929
0.521164,0.606047,0.019251
0.503023,0.917297,0.008857
0.491308,0.754558,0.099575
0.429453,0,0.122362
0.005291,0.991996,0.804457
0.37226,0.931525,0.064252
0.354749,0.934193,0.050716
0.426304,0.754558,0.131005
0,0.54691,0.891853
0.634165,0.972432,0.00625
0.439027,0,0.117683
0.183925,1,0.657131
0.334215,0,0.072645
0.523451,0,0.081538
0.033298,0.442105,0.285468
0.999284,0.98756,0
0.045471,0,1
0.683136,0,0.085744
0.46724,0.951196,0.092258
0.449696,0.760766,0.101189
0.166846,0.444976,0.25186
0.214465,0.410526,0.260187
0.414966,0.844019,0.093143
0,0.441148,0.904765
0.329395,0.694737,0.08995
0.588972,0.819139,0.099031
0.028285,0.448804,0.318902
0.670963,0.530144,0.087944
0.503401,0.712919,0.096896
0.904046,0.986603,0.021679
0.922664,0.986603,0.010376
0.303974,0.416268,0.236804
0.465091,0.736842,0.091525
0.56212,0.951196,0.084234
0.53097,0.823923,0.119222
0.654493,0.971292,0.065597
0.348013,0.622967,0.101167
0.542786,0.863158,0.084601
1,0.988517,0.018572
0.022556,0,0.876292
0.969567,1,0.004875
0.303974,0.416268,0.241377
0.432152,0.952153,0.087017
0.013436,0.572877,0.841656
0.120921,0.994193,0.672471
0.073576,0.999346,1
0.163788,0.218878,0.72548
1,0.730083,0.065045
0.163788,0.108866,0.655911
0.005758,0.513987,0.901921
0.598848,0.821364,0.044388
0.658349,0.61999,0.025267
0,0.999836,0.948442
0.535509,0.670538,0.092275
0.483045,0.857844,0.077593
0.658349,0.862915,0.012548
0.596929,0.524701,0.058045
0.013436,0,0.93965
0.115163,0.998037,0.884934
0.013436,0.776296,0.778062
0.161868,0.218632,0.622023
0.660269,0.854163,0.046351
0.537428,0.907492,0.047375
0.928343,0.752168,0
0.120921,0.994193,0.645924
0.073576,0.999346,0.914298
0.073576,0.999346,0.93376
0.013436,0.562653,0.942894
0.537428,0.774415,0.088007
0.113244,1,0.589927
0.120921,0.89735,0.70303
0.011516,0.999836,0.571831
0.928343,0.749468,0.01067
0.569502,0.968046,0.037106
0.605463,0.968046,0.033474
1,0,0.006475
0.033887,0.250785,1
0.469225,0.9602,0.037641
0.071923,0.917689,0.669257
0.071923,0,0.655997
0.504149,0.913552,0.040794
0.586445,0.792582,0.043102
0.504149,0.959772,0.049184
0.640387,0.739943,0.031391
0.693983,0.358488,0.044679
0,1,0.96143
0.661826,0.358203,0.043187
0.779046,0.76505,0.056588
0.435339,0.968474,0.043637
0.505187,0.879315,0.044961
0.436376,0.968474,0.043525
0.049101,0,0.908249
0.071923,0.971755,0.66112
0.963001,0,0.008981
0.071923,0.139087,0.688429
0.961964,0.984023,0
0.470263,0.943224,0.04772
0.742047,0.352924,0.044764
0.059474,0.993295,0.690512
0.504149,0.817546,0.03978
0.961964,0,0.00549
0.778008,0.351641,0.04848
0.060512,0.939658,0.656926
0.217267,0.864838,0.149079
0.247074,0.589557,0.155779
0.253698,0.637971,0.150475
0.250166,0.608559,0.176179
0.982115,0.379709,0.005643
0.358578,0.588566,0.05737
0.315743,0.592201,0.054638
0.315743,0.592366,0.050371
0.257673,0.406808,0.070432
0.210863,0.864838,0.166946
0.198499,0.833774,0.150993
0.656216,0.494547,0.037948
0,0.840218,0.89521
0.266063,0.698612,0.076793
1,0.754131,0.002074
0.965114,0.757766,0.000618
0.272246,0.183741,0.078129
0.230073,0.828817,0.176059
0.243762,0.547918,0.100144
0.247074,0.79544,0.165709
0.976154,0.688698,0
0.300508,0.505122,0.078029
0.249724,0.574356,0.076075
0.295429,0,0.074759
0.336498,0.487442,0.080841
0.281078,0.666887,0.148241
0.983882,0.33807,0.001336
0.011261,1,1
0.890263,0.653503,0.007598
0.354383,0.472571,0.072645
0.348394,0.584666,0.036444
0.114197,0.57228,0.105269
0.038135,0.499216,0.323016
0.06342,0.946378,0.169346
0.025907,0.806366,0.151153
0.684145,0.610693,0.142056
0.055751,0.930699,0.148063
0.137824,0.582941,0.074261
0.629637,0.716055,0.121174
