NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
73,679,34,3.49,1,,,6
73,679,34,3.28,1,,,6
73,679,34,3.21,1,,,6
73,679,34,3.24,1,,,6
73,679,34,3.21,1,,,6
73,679,34,3.71,1,,,6
73,679,34,3.9,1,,,6
73,679,34,3.32,1,,,6
73,679,34,3.28,1,,,6
73,679,34,3.24,1,,,6
73,679,34,3.23,1,,,6
73,679,34,3.27,1,,,6
73,679,34,3.27,1,,,6
73,679,34,3.41,1,,,6
73,679,34,3.27,1,,,6
73,679,34,3.33,1,,,6
73,679,34,3.21,1,,,6
73,679,34,3.22,1,,,6
73,679,34,3.27,1,,,6
73,679,34,3.1,1,,,6
73,679,34,3.27,1,,,6
73,679,34,3.36,1,,,6
73,679,34,3.24,1,,,6
73,679,34,3.32,1,,,6
73,679,34,3.21,1,,,6
73,679,34,3.25,1,,,6
73,679,34,3.98,1,,,6
73,679,34,3.23,1,,,6
73,679,34,3.44,1,,,6
73,679,34,3.37,1,,,6
