NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
6,542,22,2.43,1,,,1
6,542,22,2.56,1,,,1
6,542,22,2.38,1,,,1
6,542,22,2.37,1,,,1
6,542,22,2.39,1,,,1
6,542,22,2.32,1,,,1
6,542,22,2.4,1,,,1
6,542,22,2.37,1,,,1
6,542,22,2.41,1,,,1
6,542,22,2.41,1,,,1
6,542,22,2.42,1,,,1
6,542,22,2.42,1,,,1
6,542,22,2.44,1,,,1
6,542,22,2.35,1,,,1
6,542,22,2.76,1,,,1
6,542,22,2.38,1,,,1
6,542,22,2.45,1,,,1
6,542,22,2.37,1,,,1
6,542,22,2.38,1,,,1
6,542,22,2.37,1,,,1
6,542,22,2.41,1,,,1
6,542,22,2.25,1,,,1
6,542,22,2.47,1,,,1
6,542,22,2.37,1,,,1
6,542,22,2.88,1,,,1
6,542,22,2.47,1,,,1
6,542,22,2.4,1,,,1
6,542,22,2.35,1,,,1
6,542,22,2.42,1,,,1
6,542,22,2.38,1,,,1
