NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
,1047,62,3.48,1,,,0
,1047,62,3.6,1,,,0
,1047,62,3.67,1,,,0
,1047,62,3.45,1,,,0
,1047,62,3.31,1,,,0
,1047,62,3.31,1,,,0
,1047,62,3.41,1,,,0
,1047,62,3.32,1,,,0
,1047,62,3.37,1,,,0
,1047,62,3.43,1,,,0
,1047,62,3.58,1,,,0
,1047,62,3.51,1,,,0
,1047,62,3.44,1,,,0
,1047,62,3.4,1,,,0
,1047,62,3.46,1,,,0
,1047,62,3.4,1,,,0
,1047,62,3.39,1,,,0
,1047,62,3.33,1,,,0
,1047,62,3.46,1,,,0
,1047,62,3.49,1,,,0
,1047,62,3.55,1,,,0
,1047,62,3.44,1,,,0
,1047,62,3.42,1,,,0
,1047,62,3.36,1,,,0
,1047,62,3.49,1,,,0
,1047,62,3.49,1,,,0
,1047,62,3.41,1,,,0
,1047,62,3.45,1,,,0
,1047,62,3.47,1,,,0
,1047,62,3.53,1,,,0
