NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
1060,1574,202,8.33,1,,,33
1062,1574,202,7.96,1,,,34
1108,1574,202,9.06,1,,,33
1064,1574,202,8.89,1,,,35
1052,1574,202,8.78,1,,,36
1050,1574,202,7.96,1,,,35
1046,1574,202,10.93,1,,,33
1058,1574,202,8.16,1,,,32
1066,1574,202,13.85,1,,,33
1058,1574,202,9.07,1,,,32
1103,1574,202,7.88,1,,,33
1108,1574,202,8.2,1,,,33
1084,1574,202,8.7,1,,,33
1052,1574,202,8.97,1,,,36
1050,1574,202,8.02,1,,,35
1108,1574,202,12.55,1,,,33
1103,1574,202,8.27,1,,,33
1103,1574,202,8.05,1,,,33
1046,1574,202,8.95,1,,,33
1108,1574,202,12.12,1,,,33
1052,1574,202,8.64,1,,,36
1103,1574,202,8.04,1,,,33
1108,1574,202,8.72,1,,,33
1050,1574,202,8.16,1,,,35
1046,1574,202,9.02,1,,,33
1108,1574,202,8.5,1,,,33
1050,1574,202,8.04,1,,,35
1103,1574,202,8.02,1,,,33
1052,1574,202,8.39,1,,,36
1103,1574,202,7.87,1,,,33
