NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
14,559,16,2.69,1,,,3
14,559,16,2.82,1,,,3
14,559,16,2.64,1,,,3
16,559,16,2.65,1,,,3
14,559,16,2.7,1,,,3
14,559,16,2.8,1,,,3
14,559,16,3.07,1,,,3
14,559,16,3.44,1,,,3
14,559,16,2.85,1,,,3
14,559,16,2.7,1,,,3
14,559,16,2.57,1,,,3
14,559,16,2.67,1,,,3
14,559,16,2.85,1,,,3
14,559,16,2.6,1,,,3
14,559,16,2.59,1,,,3
14,559,16,2.81,1,,,3
14,559,16,2.71,1,,,3
14,559,16,2.97,1,,,3
14,559,16,2.71,1,,,3
14,559,16,2.69,1,,,3
16,559,16,2.66,1,,,3
14,559,16,2.65,1,,,3
14,559,16,2.57,1,,,3
14,559,16,2.6,1,,,3
14,559,16,2.66,1,,,3
12,559,16,2.68,1,,,2
14,559,16,2.7,1,,,3
14,559,16,2.59,1,,,3
14,559,16,2.89,1,,,3
16,559,16,2.64,1,,,3
