NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
692,2060,70,8.43,1,,,11
281,2060,70,6.07,1,,,12
325,2060,70,6.17,1,,,14
418,2060,70,7.04,1,,,14
325,2060,70,6.14,1,,,14
281,2060,70,6.7,1,,,12
692,2060,70,8.31,1,,,11
692,2060,70,8.35,1,,,11
281,2060,70,6.2,1,,,12
281,2060,70,6.72,1,,,12
313,2060,70,7.16,1,,,13
418,2060,70,6.86,1,,,14
325,2060,70,6.24,1,,,14
418,2060,70,7.37,1,,,14
325,2060,70,5.85,1,,,14
325,2060,70,6.31,1,,,14
692,2060,70,8.41,1,,,11
325,2060,70,5.79,1,,,14
325,2060,70,5.85,1,,,14
325,2060,70,7.14,1,,,14
325,2060,70,6.35,1,,,14
474,2060,70,7.32,1,,,14
692,2060,70,8.57,1,,,11
325,2060,70,7.08,1,,,14
325,2060,70,5.78,1,,,14
418,2060,70,6.9,1,,,14
418,2060,70,7.01,1,,,14
418,2060,70,7.0,1,,,14
692,2060,70,8.41,1,,,11
325,2060,70,7.73,1,,,14
