NoAffS,VL,VC,Time,Result,FTime,FResult
2474.0,980.0,6.0,,0.0,76.26,1.0
1833.0,1574.0,146.0,,0.0,52.18,1.0
1423.0,1613.0,174.0,,0.0,270.69,1.0
1926.0,1562.0,166.0,,0.0,152.84,1.0
1956.0,1421.0,138.0,,0.0,64.39,1.0
3408.0,1162.0,84.0,,0.0,86.6,1.0
2061.0,1599.0,160.0,,0.0,62.67,1.0
1767.0,1574.0,146.0,,0.0,49.82,1.0
3254.0,1243.0,98.0,,0.0,87.13,1.0
1780.0,1624.0,164.0,,0.0,50.74,1.0
1328.0,1536.0,138.0,,0.0,109.41,1.0
1983.0,1625.0,164.0,,0.0,62.8,1.0
3122.0,1214.0,90.0,,0.0,86.74,1.0
1767.0,1574.0,146.0,,0.0,49.37,1.0
1427.0,1515.0,132.0,,0.0,56.42,1.0
1870.0,1229.0,100.0,,0.0,154.66,1.0
1340.0,1557.0,140.0,,0.0,47.32,1.0
1367.0,1449.0,106.0,,0.0,59.19,1.0
1655.0,1631.0,176.0,,0.0,53.69,1.0
1558.0,1386.0,128.0,,0.0,64.23,1.0
3306.0,1308.0,120.0,,0.0,85.7,1.0
1722.0,1621.0,168.0,,0.0,52.34,1.0
3184.0,1162.0,84.0,,0.0,84.35,1.0
3258.0,1248.0,102.0,,0.0,84.92,1.0
1363.0,1238.0,82.0,,0.0,109.49,1.0
2530.0,1436.0,148.0,,0.0,76.02,1.0
1125.0,1588.0,146.0,,0.0,56.66,1.0
2221.0,1597.0,162.0,,0.0,405.37,1.0
1540.0,1563.0,144.0,,0.0,44.02,1.0
1920.0,1621.0,168.0,,0.0,49.89,1.0
