NoAffS,VL,VC,Time,Result,FTime,FResult
1003.0,21.0,8.0,,0.0,257.37,1.0
1003.0,20.0,8.0,,0.0,270.12,1.0
1003.0,7.0,2.0,,0.0,253.45,1.0
1003.0,20.0,8.0,,0.0,268.46,1.0
1003.0,20.0,8.0,,0.0,270.9,1.0
977.0,23.0,12.0,,0.0,271.64,1.0
1003.0,14.0,6.0,,0.0,254.07,1.0
1003.0,20.0,8.0,,0.0,255.75,1.0
1003.0,14.0,6.0,,0.0,255.73,1.0
1003.0,21.0,8.0,,0.0,269.46,1.0
1003.0,14.0,6.0,,0.0,253.85,1.0
1003.0,20.0,8.0,,0.0,253.44,1.0
977.0,20.0,8.0,,0.0,270.16,1.0
1029.0,16.0,6.0,,0.0,271.16,1.0
1003.0,21.0,8.0,,0.0,271.18,1.0
1003.0,14.0,6.0,,0.0,270.8,1.0
977.0,20.0,8.0,,0.0,272.15,1.0
1003.0,14.0,6.0,,0.0,269.28,1.0
977.0,21.0,8.0,,0.0,270.51,1.0
1003.0,16.0,6.0,,0.0,254.66,1.0
977.0,20.0,8.0,,0.0,256.11,1.0
1003.0,21.0,8.0,,0.0,254.36,1.0
1003.0,20.0,8.0,,0.0,252.38,1.0
1003.0,16.0,6.0,,0.0,255.43,1.0
1003.0,7.0,2.0,,0.0,254.68,1.0
952.0,21.0,8.0,,0.0,270.7,1.0
1003.0,20.0,8.0,,0.0,268.26,1.0
977.0,21.0,8.0,,0.0,271.07,1.0
1029.0,14.0,6.0,,0.0,255.0,1.0
1003.0,20.0,8.0,,0.0,255.9,1.0
