NoAffS,VL,VC,Time,Result,FTime,FResult
14575.0,4281.0,380.0,,0.0,66.11,1.0
1569.0,7180.0,710.0,,0.0,51.41,1.0
12954.0,3869.0,316.0,,0.0,64.61,1.0
1159.0,6729.0,626.0,,0.0,73.23,1.0
1444.0,4267.0,296.0,,0.0,54.62,1.0
1476.0,7174.0,710.0,,0.0,52.03,1.0
1755.0,6008.0,536.0,,0.0,90.82,1.0
2283.0,4536.0,496.0,,0.0,81.6,1.0
1044.0,598.0,0.0,,0.0,75.54,1.0
1142.0,3972.0,240.0,,0.0,80.44,1.0
1975.0,3668.0,378.0,,0.0,85.69,1.0
12928.0,3725.0,294.0,,0.0,67.3,1.0
10153.0,4427.0,400.0,,0.0,69.57,1.0
1089.0,4958.0,378.0,,0.0,81.45,1.0
294.0,5543.0,444.0,,0.0,78.3,1.0
1503.0,5833.0,504.0,,0.0,91.6,1.0
10964.0,5021.0,470.0,,0.0,70.04,1.0
1625.0,5086.0,370.0,,0.0,0,0
2111.0,4760.0,508.0,,0.0,83.45,1.0
12179.0,4427.0,400.0,,0.0,68.81,1.0
1366.0,6994.0,682.0,,0.0,52.96,1.0
971.0,6607.0,612.0,,0.0,52.22,1.0
1044.0,6248.0,576.0,,0.0,78.27,1.0
250.0,6807.0,634.0,,0.0,94.57,1.0
1705.0,5153.0,384.0,,0.0,89.67,1.0
2152.0,4508.0,490.0,,0.0,85.95,1.0
11882.0,4279.0,378.0,,0.0,71.54,1.0
10796.0,4429.0,400.0,,0.0,68.73,1.0
1415.0,7044.0,692.0,,0.0,55.66,1.0
1247.0,7278.0,726.0,,0.0,52.62,1.0
