NoAffS,VL,VC,Time,Result,FTime,FResult
795.0,1585.0,276.0,,0.0,0,0
2062.0,2071.0,436.0,,0.0,293.49,1.0
1641.0,1590.0,300.0,,0.0,238.61,1.0
2395.0,1682.0,336.0,,0.0,275.31,1.0
515.0,1616.0,280.0,,0.0,627.63,1.0
518.0,810.0,0.0,,0.0,628.88,1.0
2072.0,1590.0,298.0,,0.0,236.19,1.0
2062.0,2071.0,436.0,,0.0,296.94,1.0
1822.0,985.0,126.0,,0.0,291.81,1.0
499.0,1782.0,328.0,,0.0,623.01,1.0
2027.0,2085.0,436.0,,0.0,225.16,1.0
2358.0,2041.0,426.0,,0.0,293.43,1.0
1443.0,1810.0,374.0,,0.0,236.1,1.0
795.0,1602.0,278.0,,0.0,900.35,0.0
499.0,1158.0,164.0,,0.0,622.3,1.0
1922.0,1795.0,332.0,,0.0,198.0,1.0
1859.0,1342.0,210.0,,0.0,301.56,1.0
1801.0,810.0,0.0,,0.0,326.92,1.0
593.0,1448.0,222.0,,0.0,566.4,1.0
1641.0,1797.0,372.0,,0.0,237.2,1.0
1641.0,1716.0,350.0,,0.0,233.64,1.0
1982.0,1696.0,342.0,,0.0,288.93,1.0
555.0,1238.0,184.0,,0.0,615.75,1.0
1988.0,2030.0,426.0,,0.0,303.09,1.0
2138.0,1453.0,274.0,,0.0,243.58,1.0
2017.0,1883.0,366.0,,0.0,198.14,1.0
2035.0,2071.0,436.0,,0.0,270.72,1.0
499.0,1729.0,306.0,,0.0,614.9,1.0
499.0,1782.0,328.0,,0.0,612.05,1.0
515.0,810.0,0.0,,0.0,587.13,1.0
