NoAffS,VL,VC,Time,Result,FTime,FResult
1318.0,752.0,66.0,,0.0,900.33,0.0
1965.0,1076.0,186.0,,0.0,284.53,1.0
1317.0,870.0,104.0,,0.0,392.81,1.0
1091.0,1116.0,196.0,,0.0,300.28,1.0
536.0,1188.0,218.0,,0.0,338.25,1.0
1091.0,838.0,96.0,,0.0,379.84,1.0
1965.0,1178.0,214.0,,0.0,280.95,1.0
1398.0,965.0,136.0,,0.0,789.63,1.0
1719.0,962.0,134.0,,0.0,900.33,0.0
1105.0,906.0,106.0,,0.0,496.12,1.0
1459.0,973.0,116.0,,0.0,441.85,1.0
1356.0,1066.0,158.0,,0.0,390.21,1.0
1073.0,965.0,136.0,,0.0,459.0,1.0
1091.0,966.0,116.0,,0.0,539.45,1.0
1582.0,962.0,138.0,,0.0,391.34,1.0
1329.0,974.0,122.0,,0.0,388.02,1.0
2557.0,1072.0,156.0,,0.0,308.09,1.0
2987.0,1125.0,200.0,,0.0,250.33,1.0
741.0,1185.0,216.0,,0.0,406.9,1.0
2777.0,1015.0,142.0,,0.0,375.63,1.0
1334.0,769.0,84.0,,0.0,439.41,1.0
1153.0,1188.0,218.0,,0.0,374.35,1.0
1965.0,1086.0,188.0,,0.0,281.28,1.0
2969.0,1125.0,200.0,,0.0,254.33,1.0
1965.0,1086.0,188.0,,0.0,280.58,1.0
1270.0,842.0,94.0,,0.0,0,0
542.0,1020.0,152.0,,0.0,900.31,0.0
1384.0,997.0,144.0,,0.0,476.18,1.0
924.0,1173.0,210.0,,0.0,346.7,1.0
1424.0,813.0,94.0,,0.0,388.28,1.0
