NoAffS,VL,VC,Time,Result,FTime,FResult
854.0,16.0,6.0,,0.0,303.09,1.0
878.0,14.0,6.0,,0.0,303.09,1.0
854.0,21.0,8.0,,0.0,301.99,1.0
807.0,21.0,8.0,,0.0,301.72,1.0
854.0,7.0,2.0,,0.0,300.06,1.0
854.0,16.0,6.0,,0.0,302.79,1.0
854.0,20.0,8.0,,0.0,302.63,1.0
878.0,14.0,6.0,,0.0,300.24,1.0
830.0,20.0,8.0,,0.0,300.86,1.0
854.0,23.0,12.0,,0.0,301.04,1.0
878.0,14.0,6.0,,0.0,300.69,1.0
854.0,8.0,2.0,,0.0,300.72,1.0
830.0,20.0,8.0,,0.0,304.09,1.0
878.0,16.0,6.0,,0.0,305.93,1.0
854.0,20.0,8.0,,0.0,304.12,1.0
854.0,23.0,12.0,,0.0,301.42,1.0
854.0,16.0,6.0,,0.0,303.37,1.0
878.0,14.0,6.0,,0.0,298.45,1.0
854.0,16.0,6.0,,0.0,300.83,1.0
854.0,20.0,8.0,,0.0,298.89,1.0
854.0,16.0,6.0,,0.0,300.72,1.0
854.0,20.0,8.0,,0.0,300.32,1.0
878.0,16.0,6.0,,0.0,300.02,1.0
854.0,7.0,2.0,,0.0,300.99,1.0
830.0,20.0,8.0,,0.0,303.02,1.0
878.0,14.0,6.0,,0.0,301.19,1.0
830.0,23.0,12.0,,0.0,303.41,1.0
854.0,14.0,6.0,,0.0,300.97,1.0
830.0,21.0,8.0,,0.0,303.31,1.0
878.0,14.0,6.0,,0.0,300.91,1.0
