NoAffS,VL,VC,Time,Result,FTime,FResult
30.0,561.0,200.0,,0.0,91.92,1.0
30.0,561.0,200.0,,0.0,96.19,1.0
30.0,561.0,200.0,,0.0,96.43,1.0
30.0,561.0,200.0,,0.0,93.57,1.0
30.0,561.0,200.0,,0.0,92.82,1.0
30.0,560.0,200.0,,0.0,95.61,1.0
30.0,560.0,200.0,,0.0,95.46,1.0
30.0,561.0,200.0,,0.0,96.29,1.0
30.0,560.0,200.0,,0.0,97.13,1.0
30.0,560.0,200.0,,0.0,99.43,1.0
30.0,561.0,200.0,,0.0,96.3,1.0
30.0,560.0,200.0,,0.0,100.18,1.0
30.0,561.0,200.0,,0.0,96.38,1.0
30.0,561.0,200.0,,0.0,95.97,1.0
30.0,560.0,200.0,,0.0,97.42,1.0
30.0,560.0,200.0,,0.0,93.42,1.0
30.0,561.0,200.0,,0.0,92.55,1.0
30.0,560.0,200.0,,0.0,95.73,1.0
30.0,560.0,200.0,,0.0,99.91,1.0
30.0,560.0,200.0,,0.0,99.0,1.0
30.0,561.0,200.0,,0.0,99.41,1.0
30.0,560.0,200.0,,0.0,96.78,1.0
30.0,561.0,200.0,,0.0,98.31,1.0
30.0,560.0,200.0,,0.0,96.47,1.0
30.0,561.0,200.0,,0.0,95.7,1.0
30.0,561.0,200.0,,0.0,94.03,1.0
30.0,560.0,200.0,,0.0,94.51,1.0
30.0,561.0,200.0,,0.0,96.39,1.0
30.0,560.0,200.0,,0.0,96.97,1.0
30.0,561.0,200.0,,0.0,103.45,1.0
