NoAffS,VL,VC,Time,Result,FTime,FResult
6986.0,2234.0,332.0,,0.0,157.81,1.0
3631.0,1299.0,94.0,,0.0,139.29,1.0
11651.0,1593.0,206.0,,0.0,203.43,1.0
5108.0,1743.0,222.0,,0.0,87.36,1.0
3559.0,2048.0,282.0,,0.0,139.2,1.0
6300.0,2081.0,264.0,,0.0,76.06,1.0
9541.0,2241.0,346.0,,0.0,241.06,1.0
6429.0,1503.0,156.0,,0.0,306.52,1.0
5130.0,1799.0,222.0,,0.0,85.21,1.0
1341.0,2641.0,454.0,,0.0,574.8,1.0
4158.0,2112.0,278.0,,0.0,84.61,1.0
1329.0,957.0,0.0,,0.0,629.99,1.0
168.0,2988.0,518.0,,0.0,907.52,0.0
5058.0,2292.0,316.0,,0.0,82.11,1.0
4680.0,2231.0,304.0,,0.0,81.48,1.0
181.0,2987.0,518.0,,0.0,906.8,0.0
11772.0,1138.0,78.0,,0.0,204.84,1.0
11651.0,1593.0,206.0,,0.0,206.88,1.0
6227.0,2462.0,410.0,,0.0,134.09,1.0
3594.0,957.0,0.0,,0.0,138.27,1.0
7260.0,2086.0,334.0,,0.0,310.69,1.0
6653.0,957.0,0.0,,0.0,292.69,1.0
7538.0,2261.0,376.0,,0.0,298.94,1.0
6281.0,2090.0,336.0,,0.0,308.44,1.0
1035.0,2559.0,408.0,,0.0,908.65,0.0
1216.0,2389.0,404.0,,0.0,647.33,1.0
12029.0,984.0,6.0,,0.0,201.5,1.0
141.0,3019.0,524.0,,0.0,0,0
179.0,1518.0,152.0,,0.0,862.81,1.0
5409.0,1887.0,278.0,,0.0,303.35,1.0
