NoAffS,VL,VC,Time,Result,FTime,FResult,GNoAffS,GVL,GVC,GTime,GResult,GFTime,GFResult
440.0,747.0,152.0,,0.0,172.15,1.0,0.15,0.2354368932038835,0.3181818181818182,0,0.0,0.39370988446726574,1.0
1137.0,928.0,186.0,,0.0,189.85,1.0,1.0,0.4550970873786408,0.42857142857142855,0,0.0,0.5073170731707316,1.0
505.0,1225.0,314.0,,0.0,118.86,1.0,0.22926829268292684,0.8155339805825242,0.8441558441558441,0,0.0,0.05166880616174581,1.0
505.0,1176.0,294.0,,0.0,124.09,1.0,0.22926829268292684,0.7560679611650486,0.7792207792207793,0,0.0,0.08523748395378691,1.0
444.0,1232.0,324.0,,0.0,125.68,1.0,0.1548780487804878,0.8240291262135923,0.8766233766233766,0,0.0,0.09544287548138641,1.0
649.0,1251.0,326.0,,0.0,125.84,1.0,0.40487804878048783,0.8470873786407767,0.8831168831168831,0,0.0,0.09646983311938383,1.0
406.0,1217.0,322.0,,0.0,127.24,1.0,0.10853658536585366,0.8058252427184466,0.8701298701298701,0,0.0,0.1054557124518613,1.0
975.0,553.0,54.0,,0.0,225.19,1.0,0.802439024390244,0.0,0.0,0,0.0,0.7341463414634145,1.0
505.0,1272.0,330.0,,0.0,122.1,1.0,0.22926829268292684,0.8725728155339806,0.8961038961038961,0,0.0,0.07246469833119379,1.0
976.0,1254.0,330.0,,0.0,195.27,1.0,0.8036585365853659,0.8507281553398058,0.8961038961038961,0,0.0,0.5421052631578948,1.0
997.0,928.0,186.0,,0.0,224.54,1.0,0.8292682926829268,0.4550970873786408,0.42857142857142855,0,0.0,0.72997432605905,1.0
754.0,1153.0,290.0,,0.0,163.89,1.0,0.5329268292682927,0.7281553398058253,0.7662337662337663,0,0.0,0.34069319640564816,1.0
317.0,1235.0,316.0,,0.0,205.02,1.0,0.0,0.8276699029126213,0.8506493506493507,0,0.0,0.6046854942233633,1.0
757.0,948.0,230.0,,0.0,110.81,1.0,0.5365853658536586,0.47936893203883496,0.5714285714285714,0,0.0,0.0,1.0
923.0,655.0,98.0,,0.0,230.26,1.0,0.7390243902439024,0.12378640776699029,0.14285714285714285,0,0.0,0.7666880616174582,1.0
348.0,1236.0,316.0,,0.0,197.01,1.0,0.03780487804878049,0.8288834951456311,0.8506493506493507,0,0.0,0.5532734274711167,1.0
