NoAffS,VL,VC,Time,Result,FTime,FResult
29.0,551.0,200.0,,0.0,142.46,1.0
29.0,551.0,200.0,,0.0,139.64,1.0
29.0,551.0,200.0,,0.0,139.99,1.0
29.0,551.0,200.0,,0.0,139.04,1.0
29.0,551.0,200.0,,0.0,140.25,1.0
29.0,550.0,200.0,,0.0,138.76,1.0
29.0,550.0,200.0,,0.0,138.51,1.0
29.0,550.0,200.0,,0.0,140.64,1.0
29.0,550.0,200.0,,0.0,141.23,1.0
29.0,551.0,200.0,,0.0,140.03,1.0
29.0,550.0,200.0,,0.0,141.39,1.0
29.0,550.0,200.0,,0.0,140.64,1.0
29.0,550.0,200.0,,0.0,139.37,1.0
29.0,550.0,200.0,,0.0,142.83,1.0
29.0,551.0,200.0,,0.0,142.11,1.0
29.0,550.0,200.0,,0.0,139.28,1.0
29.0,551.0,200.0,,0.0,141.55,1.0
29.0,550.0,200.0,,0.0,146.39,1.0
29.0,550.0,200.0,,0.0,140.51,1.0
29.0,550.0,200.0,,0.0,137.74,1.0
29.0,550.0,200.0,,0.0,139.19,1.0
29.0,551.0,200.0,,0.0,139.95,1.0
29.0,550.0,200.0,,0.0,140.52,1.0
29.0,550.0,200.0,,0.0,138.5,1.0
29.0,550.0,200.0,,0.0,141.11,1.0
29.0,551.0,200.0,,0.0,140.86,1.0
29.0,550.0,200.0,,0.0,143.38,1.0
29.0,551.0,200.0,,0.0,119.32,1.0
29.0,551.0,200.0,,0.0,158.97,1.0
29.0,551.0,200.0,,0.0,157.6,1.0
