NoAffS,VL,VC,Time,Result,FTime,FResult
27.0,567.0,206.0,,0.0,33.65,1.0
27.0,566.0,206.0,,0.0,33.79,1.0
27.0,567.0,206.0,,0.0,33.79,1.0
27.0,567.0,206.0,,0.0,33.13,1.0
27.0,567.0,206.0,,0.0,32.79,1.0
27.0,567.0,206.0,,0.0,34.21,1.0
27.0,566.0,206.0,,0.0,36.37,1.0
27.0,566.0,206.0,,0.0,36.88,1.0
27.0,567.0,206.0,,0.0,36.99,1.0
27.0,567.0,206.0,,0.0,34.67,1.0
27.0,567.0,206.0,,0.0,34.02,1.0
27.0,566.0,206.0,,0.0,32.63,1.0
27.0,566.0,206.0,,0.0,36.62,1.0
27.0,567.0,206.0,,0.0,35.92,1.0
27.0,567.0,206.0,,0.0,38.54,1.0
27.0,567.0,206.0,,0.0,37.85,1.0
27.0,566.0,206.0,,0.0,39.04,1.0
27.0,567.0,206.0,,0.0,35.2,1.0
27.0,566.0,206.0,,0.0,37.6,1.0
27.0,567.0,206.0,,0.0,36.98,1.0
27.0,566.0,206.0,,0.0,36.23,1.0
27.0,567.0,206.0,,0.0,39.15,1.0
27.0,567.0,206.0,,0.0,36.22,1.0
27.0,566.0,206.0,,0.0,35.43,1.0
27.0,566.0,206.0,,0.0,35.14,1.0
27.0,567.0,206.0,,0.0,34.93,1.0
27.0,566.0,206.0,,0.0,35.27,1.0
27.0,566.0,206.0,,0.0,35.67,1.0
27.0,566.0,206.0,,0.0,34.42,1.0
27.0,567.0,206.0,,0.0,37.65,1.0
