NoAffS,VL,VC,Time,Result,FTime,FResult
5006.0,1047.0,172.0,,0.0,98.09,1.0
8707.0,920.0,118.0,,0.0,83.88,1.0
2942.0,1062.0,166.0,,0.0,104.49,1.0
1347.0,888.0,98.0,,0.0,91.25,1.0
4400.0,1086.0,182.0,,0.0,64.65,1.0
3941.0,1044.0,160.0,,0.0,66.74,1.0
3573.0,1091.0,188.0,,0.0,98.61,1.0
1598.0,656.0,16.0,,0.0,198.03,1.0
947.0,856.0,84.0,,0.0,138.33,1.0
6327.0,888.0,98.0,,0.0,90.69,1.0
6443.0,1069.0,166.0,,0.0,93.12,1.0
4718.0,1002.0,146.0,,0.0,59.72,1.0
2631.0,1121.0,198.0,,0.0,102.2,1.0
2942.0,1067.0,168.0,,0.0,104.81,1.0
4863.0,953.0,128.0,,0.0,58.72,1.0
5982.0,1071.0,166.0,,0.0,94.13,1.0
4814.0,1133.0,206.0,,0.0,88.6,1.0
1042.0,852.0,82.0,,0.0,155.32,1.0
2289.0,1090.0,188.0,,0.0,99.43,1.0
2575.0,1062.0,166.0,,0.0,103.53,1.0
1121.0,884.0,96.0,,0.0,134.04,1.0
8603.0,920.0,118.0,,0.0,93.38,1.0
2882.0,554.0,0.0,,0.0,99.61,1.0
2283.0,1061.0,170.0,,0.0,101.77,1.0
2928.0,1062.0,178.0,,0.0,98.01,1.0
1740.0,888.0,98.0,,0.0,201.08,1.0
4898.0,1170.0,212.0,,0.0,68.95,1.0
8397.0,821.0,92.0,,0.0,87.85,1.0
4154.0,1092.0,186.0,,0.0,61.7,1.0
8307.0,918.0,118.0,,0.0,83.43,1.0
