NoAffS,VL,VC,Time,Result,FTime,FResult
3544.0,2400.0,504.0,,0.0,191.54,1.0
1492.0,760.0,0.0,,0.0,77.72,1.0
2134.0,2006.0,372.0,,0.0,140.2,1.0
1454.0,2592.0,570.0,,0.0,0,0
4277.0,2733.0,600.0,,0.0,130.66,1.0
206.0,3339.0,746.0,,0.0,395.94,1.0
3801.0,2524.0,546.0,,0.0,125.3,1.0
4018.0,2826.0,620.0,,0.0,47.04,1.0
2482.0,2697.0,604.0,,0.0,87.46,1.0
1366.0,2266.0,462.0,,0.0,79.52,1.0
3403.0,2382.0,494.0,,0.0,189.59,1.0
3524.0,1686.0,248.0,,0.0,189.13,1.0
1492.0,2320.0,470.0,,0.0,82.26,1.0
1492.0,2739.0,610.0,,0.0,78.6,1.0
256.0,3339.0,746.0,,0.0,375.77,1.0
4024.0,2805.0,616.0,,0.0,129.25,1.0
1534.0,2838.0,628.0,,0.0,78.65,1.0
3870.0,3215.0,720.0,,0.0,44.4,1.0
1321.0,2718.0,608.0,,0.0,106.51,1.0
1321.0,2178.0,404.0,,0.0,130.65,1.0
1492.0,2739.0,610.0,,0.0,75.25,1.0
2298.0,2589.0,506.0,,0.0,380.33,1.0
3638.0,2920.0,632.0,,0.0,190.92,1.0
1809.0,3211.0,720.0,,0.0,902.29,0.0
3740.0,2086.0,366.0,,0.0,193.41,1.0
2311.0,2115.0,398.0,,0.0,111.46,1.0
256.0,2955.0,656.0,,0.0,380.15,1.0
4277.0,1946.0,392.0,,0.0,130.04,1.0
1199.0,760.0,0.0,,0.0,76.57,1.0
3688.0,2882.0,620.0,,0.0,125.87,1.0
