NoAffS,VL,VC,Time,Result,FTime,FResult
1003.0,7.0,2.0,,0.0,92.85,1.0
977.0,21.0,8.0,,0.0,89.24,1.0
977.0,18.0,6.0,,0.0,90.34,1.0
977.0,20.0,8.0,,0.0,90.75,1.0
1003.0,14.0,6.0,,0.0,90.13,1.0
952.0,16.0,6.0,,0.0,89.7,1.0
1003.0,21.0,8.0,,0.0,90.26,1.0
1003.0,16.0,6.0,,0.0,89.26,1.0
1003.0,8.0,2.0,,0.0,91.57,1.0
1029.0,20.0,8.0,,0.0,90.99,1.0
1003.0,20.0,8.0,,0.0,91.74,1.0
977.0,21.0,8.0,,0.0,90.35,1.0
1003.0,16.0,6.0,,0.0,89.77,1.0
977.0,20.0,8.0,,0.0,90.35,1.0
1003.0,21.0,8.0,,0.0,92.18,1.0
1003.0,14.0,6.0,,0.0,90.59,1.0
1003.0,14.0,6.0,,0.0,91.38,1.0
977.0,21.0,8.0,,0.0,89.32,1.0
977.0,23.0,12.0,,0.0,89.84,1.0
1003.0,20.0,8.0,,0.0,91.17,1.0
1003.0,16.0,6.0,,0.0,88.95,1.0
977.0,23.0,12.0,,0.0,89.1,1.0
1003.0,20.0,8.0,,0.0,91.16,1.0
1003.0,14.0,6.0,,0.0,90.23,1.0
977.0,23.0,12.0,,0.0,89.58,1.0
977.0,21.0,8.0,,0.0,89.52,1.0
977.0,21.0,8.0,,0.0,90.66,1.0
977.0,20.0,8.0,,0.0,91.93,1.0
1003.0,20.0,8.0,,0.0,90.43,1.0
1003.0,14.0,6.0,,0.0,90.43,1.0
