NoAffS,VL,VC,Time,Result,FTime,FResult
3761.0,1766.0,240.0,,0.0,79.36,1.0
3692.0,1711.0,222.0,,0.0,75.31,1.0
6384.0,2776.0,484.0,,0.0,41.93,1.0
2972.0,740.0,0.0,,0.0,61.31,1.0
3412.0,2876.0,544.0,,0.0,55.19,1.0
4955.0,740.0,0.0,,0.0,50.32,1.0
6096.0,2881.0,528.0,,0.0,51.33,1.0
2897.0,740.0,0.0,,0.0,62.42,1.0
5066.0,2325.0,372.0,,0.0,56.95,1.0
8178.0,2636.0,516.0,,0.0,48.94,1.0
3122.0,2837.0,536.0,,0.0,61.59,1.0
319.0,2963.0,590.0,,0.0,299.81,1.0
3122.0,740.0,0.0,,0.0,60.72,1.0
445.0,2885.0,568.0,,0.0,321.92,1.0
8257.0,740.0,0.0,,0.0,50.41,1.0
3531.0,1652.0,202.0,,0.0,62.63,1.0
4649.0,2650.0,450.0,,0.0,42.75,1.0
4456.0,2103.0,314.0,,0.0,47.32,1.0
4312.0,2803.0,492.0,,0.0,44.41,1.0
4219.0,2437.0,444.0,,0.0,69.81,1.0
3728.0,740.0,0.0,,0.0,76.19,1.0
361.0,2971.0,590.0,,0.0,267.17,1.0
3274.0,2835.0,536.0,,0.0,59.92,1.0
3135.0,2841.0,536.0,,0.0,56.13,1.0
3703.0,2437.0,444.0,,0.0,78.61,1.0
319.0,1970.0,346.0,,0.0,291.64,1.0
5353.0,2927.0,564.0,,0.0,43.68,1.0
3804.0,740.0,0.0,,0.0,74.88,1.0
1779.0,2989.0,596.0,,0.0,225.92,1.0
2972.0,740.0,0.0,,0.0,62.27,1.0
