NoAffS,VL,VC,Time,Result,FTime,FResult
2623.0,1006.0,146.0,,0.0,64.34,1.0
3187.0,1173.0,196.0,,0.0,57.98,1.0
3165.0,1277.0,248.0,,0.0,96.56,1.0
5350.0,1306.0,252.0,,0.0,165.7,1.0
3144.0,978.0,132.0,,0.0,99.09,1.0
2692.0,1122.0,170.0,,0.0,133.6,1.0
8413.0,1205.0,234.0,,0.0,175.15,1.0
3165.0,1236.0,234.0,,0.0,100.66,1.0
5257.0,1111.0,176.0,,0.0,52.62,1.0
4252.0,1036.0,156.0,,0.0,82.56,1.0
5228.0,1108.0,176.0,,0.0,53.06,1.0
4941.0,1238.0,228.0,,0.0,66.51,1.0
3976.0,1315.0,254.0,,0.0,64.21,1.0
8552.0,879.0,118.0,,0.0,177.42,1.0
3357.0,1045.0,158.0,,0.0,56.9,1.0
3144.0,1175.0,196.0,,0.0,99.56,1.0
3104.0,1225.0,232.0,,0.0,63.13,1.0
8606.0,768.0,98.0,,0.0,178.27,1.0
2779.0,609.0,0.0,,0.0,63.38,1.0
3165.0,1236.0,234.0,,0.0,98.82,1.0
5248.0,836.0,102.0,,0.0,39.66,1.0
4368.0,1012.0,144.0,,0.0,48.91,1.0
1757.0,923.0,126.0,,0.0,67.77,1.0
6860.0,1292.0,248.0,,0.0,95.0,1.0
3031.0,1036.0,152.0,,0.0,101.32,1.0
4338.0,1280.0,246.0,,0.0,83.64,1.0
5228.0,1108.0,176.0,,0.0,54.44,1.0
3148.0,1266.0,242.0,,0.0,99.65,1.0
3118.0,1132.0,182.0,,0.0,60.25,1.0
2701.0,1000.0,142.0,,0.0,64.04,1.0
