NoAffS,VL,VC,Time,Result,FTime,FResult
2976.0,1524.0,219.0,,0.0,91.42,1.0
3958.0,1587.0,268.0,,0.0,83.87,1.0
1456.0,1043.0,106.0,,0.0,0,0
2175.0,963.0,100.0,,0.0,94.53,1.0
2572.0,1404.0,207.0,,0.0,99.08,1.0
3122.0,1735.0,307.0,,0.0,66.05,1.0
2387.0,1606.0,273.0,,0.0,89.78,1.0
2852.0,1375.0,199.0,,0.0,100.22,1.0
3037.0,1848.0,327.0,,0.0,100.53,1.0
7018.0,984.0,112.0,,0.0,324.83,1.0
2892.0,1177.0,154.0,,0.0,103.09,1.0
3013.0,1727.0,301.0,,0.0,100.12,1.0
2798.0,1869.0,335.0,,0.0,104.36,1.0
3096.0,1323.0,171.0,,0.0,86.6,1.0
3418.0,1087.0,118.0,,0.0,95.22,1.0
6332.0,1746.0,291.0,,0.0,152.47,1.0
2900.0,858.0,75.0,,0.0,87.6,1.0
3631.0,1570.0,261.0,,0.0,81.67,1.0
3056.0,684.0,0.0,,0.0,88.79,1.0
3333.0,1484.0,247.0,,0.0,767.09,1.0
1075.0,1172.0,132.0,,0.0,0,0
6647.0,2065.0,371.0,,0.0,150.39,1.0
2739.0,1579.0,271.0,,0.0,94.62,1.0
3595.0,1459.0,239.0,,0.0,94.4,1.0
1046.0,1160.0,132.0,,0.0,0,0
2770.0,1316.0,204.0,,0.0,100.15,1.0
6374.0,945.0,98.0,,0.0,152.93,1.0
2353.0,1735.0,263.0,,0.0,126.25,1.0
3158.0,1257.0,163.0,,0.0,88.94,1.0
2852.0,1413.0,215.0,,0.0,102.79,1.0
