NoAffS,VL,VC,Time,Result,FTime,FResult
53.0,415.0,192.0,,0.0,31.7,1.0
53.0,416.0,192.0,,0.0,30.69,1.0
53.0,416.0,192.0,,0.0,29.53,1.0
53.0,415.0,192.0,,0.0,30.42,1.0
53.0,416.0,192.0,,0.0,31.4,1.0
53.0,416.0,192.0,,0.0,30.67,1.0
53.0,415.0,192.0,,0.0,32.44,1.0
53.0,416.0,192.0,,0.0,31.95,1.0
53.0,416.0,192.0,,0.0,30.84,1.0
53.0,416.0,192.0,,0.0,30.85,1.0
53.0,415.0,192.0,,0.0,30.81,1.0
0,0,0,,0,31.45,1.0
53.0,415.0,192.0,,0.0,30.75,1.0
0,0,0,,0,32.49,1.0
53.0,416.0,192.0,,0.0,30.46,1.0
0,0,0,,0,30.72,1.0
53.0,416.0,192.0,,0.0,30.23,1.0
53.0,415.0,192.0,,0.0,30.06,1.0
0,0,0,,0,31.35,1.0
53.0,416.0,192.0,,0.0,30.75,1.0
53.0,415.0,192.0,,0.0,30.02,1.0
53.0,416.0,192.0,,0.0,30.46,1.0
53.0,416.0,192.0,,0.0,30.29,1.0
53.0,416.0,192.0,,0.0,31.42,1.0
53.0,416.0,192.0,,0.0,29.88,1.0
53.0,416.0,192.0,,0.0,30.53,1.0
53.0,416.0,192.0,,0.0,30.41,1.0
53.0,416.0,192.0,,0.0,31.15,1.0
53.0,416.0,192.0,,0.0,30.24,1.0
0,0,0,,0,31.21,1.0
