NoAffS,VL,VC,Time,Result,FTime,FResult
45.0,7120.0,304.0,,0.0,135.74,1.0
213.0,12271.0,1124.0,,0.0,115.92,1.0
139.0,12334.0,1124.0,,0.0,154.29,1.0
280.0,2792.0,266.0,,0.0,122.13,1.0
1587.0,9042.0,612.0,,0.0,44.76,1.0
280.0,1447.0,118.0,,0.0,113.98,1.0
33.0,6400.0,188.0,,0.0,142.8,1.0
960.0,10158.0,780.0,,0.0,42.34,1.0
1053.0,7696.0,390.0,,0.0,40.1,1.0
24.0,12340.0,1124.0,,0.0,148.25,1.0
861.0,8314.0,490.0,,0.0,47.95,1.0
779.0,10604.0,850.0,,0.0,46.23,1.0
1053.0,10666.0,856.0,,0.0,38.61,1.0
957.0,6531.0,210.0,,0.0,43.94,1.0
45.0,116.0,0.0,,0.0,147.22,1.0
204.0,12318.0,1118.0,,0.0,140.81,1.0
45.0,9607.0,700.0,,0.0,128.29,1.0
277.0,2789.0,264.0,,0.0,110.01,1.0
1056.0,10559.0,840.0,,0.0,42.57,1.0
864.0,11211.0,942.0,,0.0,42.69,1.0
1475.0,9312.0,850.0,,0.0,37.14,1.0
213.0,12271.0,1124.0,,0.0,112.81,1.0
139.0,12334.0,1124.0,,0.0,144.25,1.0
139.0,12334.0,1124.0,,0.0,146.53,1.0
45.0,6995.0,282.0,,0.0,147.6,1.0
864.0,9584.0,690.0,,0.0,47.45,1.0
201.0,12342.0,1124.0,,0.0,106.25,1.0
213.0,11087.0,924.0,,0.0,119.5,1.0
42.0,12340.0,1124.0,,0.0,104.13,1.0
1475.0,9279.0,644.0,,0.0,38.39,1.0
