NoAffS,VL,VC,Time,Result,FTime,FResult
1082.0,8.0,2.0,,0.0,78.28,1.0
1082.0,20.0,6.0,,0.0,77.81,1.0
1082.0,20.0,6.0,,0.0,77.84,1.0
1109.0,14.0,4.0,,0.0,78.48,1.0
1109.0,14.0,4.0,,0.0,78.28,1.0
1082.0,23.0,10.0,,0.0,78.26,1.0
1082.0,14.0,4.0,,0.0,77.17,1.0
1082.0,16.0,4.0,,0.0,77.72,1.0
1082.0,21.0,6.0,,0.0,78.24,1.0
1082.0,21.0,6.0,,0.0,78.56,1.0
1055.0,21.0,6.0,,0.0,77.87,1.0
1082.0,20.0,6.0,,0.0,77.92,1.0
1082.0,21.0,6.0,,0.0,78.32,1.0
1082.0,14.0,4.0,,0.0,77.74,1.0
1082.0,23.0,10.0,,0.0,78.03,1.0
1082.0,21.0,6.0,,0.0,78.94,1.0
1055.0,23.0,10.0,,0.0,77.73,1.0
1082.0,16.0,4.0,,0.0,77.84,1.0
1082.0,21.0,6.0,,0.0,77.98,1.0
1082.0,20.0,6.0,,0.0,76.85,1.0
1082.0,20.0,6.0,,0.0,77.56,1.0
1082.0,20.0,6.0,,0.0,76.99,1.0
1082.0,20.0,6.0,,0.0,77.8,1.0
1082.0,16.0,4.0,,0.0,78.21,1.0
1082.0,21.0,6.0,,0.0,77.85,1.0
1109.0,14.0,4.0,,0.0,77.35,1.0
1082.0,21.0,6.0,,0.0,78.42,1.0
1082.0,14.0,4.0,,0.0,77.05,1.0
1082.0,23.0,10.0,,0.0,77.8,1.0
1082.0,14.0,4.0,,0.0,78.22,1.0
