NoAffS,VL,VC,Time,Result,FTime,FResult
623.0,14.0,14.0,,0.0,178.61,1.0
623.0,14.0,14.0,,0.0,172.82,1.0
623.0,9.0,12.0,,0.0,129.15,1.0
623.0,14.0,14.0,,0.0,175.99,1.0
623.0,14.0,14.0,,0.0,172.79,1.0
623.0,9.0,12.0,,0.0,129.43,1.0
623.0,9.0,12.0,,0.0,130.75,1.0
623.0,9.0,12.0,,0.0,132.45,1.0
623.0,9.0,12.0,,0.0,131.91,1.0
623.0,14.0,14.0,,0.0,174.13,1.0
623.0,9.0,12.0,,0.0,324.51,1.0
623.0,9.0,12.0,,0.0,128.62,1.0
623.0,14.0,14.0,,0.0,174.97,1.0
623.0,9.0,12.0,,0.0,130.64,1.0
623.0,9.0,12.0,,0.0,128.81,1.0
623.0,9.0,12.0,,0.0,319.64,1.0
623.0,9.0,12.0,,0.0,129.63,1.0
623.0,9.0,12.0,,0.0,128.5,1.0
623.0,9.0,12.0,,0.0,321.09,1.0
623.0,9.0,12.0,,0.0,129.08,1.0
623.0,14.0,14.0,,0.0,174.87,1.0
623.0,9.0,12.0,,0.0,321.63,1.0
623.0,9.0,12.0,,0.0,319.79,1.0
623.0,9.0,12.0,,0.0,318.03,1.0
623.0,14.0,14.0,,0.0,174.56,1.0
623.0,9.0,12.0,,0.0,320.2,1.0
623.0,14.0,14.0,,0.0,173.71,1.0
623.0,9.0,12.0,,0.0,130.79,1.0
623.0,9.0,12.0,,0.0,131.71,1.0
623.0,9.0,12.0,,0.0,129.59,1.0
