NoAffS,VL,VC,Time,Result
27,1415,4568,30.38,0
24,1415,4568,30.38,0
24,1415,4568,30.35,0
15,1193,3868,30.45,0
24,1415,4568,30.36,0
24,1415,4568,30.36,0
27,1193,3868,30.4,0
24,1415,4568,30.29,0
24,1415,4568,30.36,0
24,1415,4568,30.34,0
24,1415,4568,30.37,0
24,1415,4568,30.38,0
24,1415,4568,30.37,0
24,1415,4568,30.38,0
24,1415,4568,30.33,0
15,1193,3868,30.38,0
15,1193,3868,30.43,0
15,1193,3868,30.41,0
24,1415,4568,30.35,0
24,1415,4568,30.34,0
24,1415,4568,30.36,0
24,1415,4568,30.35,0
15,1193,3868,30.39,0
24,1415,4568,30.37,0
15,1193,3868,30.42,0
24,1415,4568,30.42,0
24,1415,4568,30.33,0
24,1415,4568,30.4,0
24,1415,4568,30.37,0
24,1415,4568,30.38,0
