NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
624,14,6,28.07,1,,,18
624,14,6,27.65,1,,,18
624,14,6,27.4,1,,,18
624,14,6,27.85,1,,,18
624,14,6,27.75,1,,,18
624,14,6,27.52,1,,,18
624,14,6,28.54,1,,,18
624,14,6,28.43,1,,,18
624,14,6,27.46,1,,,18
624,14,6,27.74,1,,,18
624,14,6,27.59,1,,,18
624,14,6,28.01,1,,,18
624,14,6,27.96,1,,,18
624,14,6,27.69,1,,,18
624,14,6,27.99,1,,,18
624,14,6,27.46,1,,,18
624,14,6,27.9,1,,,18
624,14,6,27.56,1,,,18
624,14,6,27.76,1,,,18
624,14,6,27.98,1,,,18
624,14,6,28.24,1,,,18
624,14,6,27.8,1,,,18
624,14,6,27.99,1,,,18
624,14,6,28.03,1,,,18
624,14,6,27.81,1,,,18
624,14,6,27.85,1,,,18
624,14,6,27.76,1,,,18
624,14,6,27.76,1,,,18
624,14,6,27.91,1,,,18
624,14,6,28.03,1,,,18
