NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
76,12,8,3.4,1,,,11
76,12,8,3.41,1,,,11
76,12,8,3.47,1,,,11
76,12,8,3.33,1,,,11
35,12,8,2.6,1,,,5
76,12,8,3.54,1,,,11
76,12,8,2.85,1,,,11
76,12,8,2.82,1,,,11
76,12,8,2.85,1,,,11
76,12,8,2.85,1,,,11
76,12,8,2.83,1,,,11
76,12,8,3.47,1,,,11
35,12,8,2.58,1,,,5
76,12,8,2.9,1,,,11
76,12,8,3.4,1,,,11
76,12,8,2.99,1,,,11
76,12,8,3.4,1,,,11
76,12,8,2.85,1,,,11
35,12,8,2.58,1,,,5
76,12,8,2.81,1,,,11
76,12,8,3.54,1,,,11
76,12,8,2.87,1,,,11
76,12,8,2.86,1,,,11
35,12,8,2.6,1,,,5
35,12,8,2.66,1,,,5
76,12,8,2.85,1,,,11
35,12,8,2.61,1,,,5
76,12,8,3.53,1,,,11
76,12,8,3.42,1,,,11
76,12,8,2.86,1,,,11
