NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
944,1101,86,7.48,0,,,47
415,1088,108,7.63,0,,,37
1103,1235,160,17.75,0,,,25
949,1232,156,15.27,0,,,22
415,1088,108,7.82,0,,,37
415,1088,108,7.63,0,,,37
584,1061,88,7.69,0,,,44
40,1317,180,5.1,0,,,7
584,1061,88,7.72,0,,,44
415,1088,108,7.66,0,,,37
972,1062,74,6.94,0,,,46
944,1101,86,7.67,0,,,47
1103,1235,160,18.09,0,,,25
917,1101,86,7.58,0,,,42
1103,1235,160,17.48,0,,,25
944,1101,86,7.49,0,,,47
292,1014,86,6.35,0,,,28
1405,1202,162,11.81,0,,,62
972,1062,74,6.87,0,,,46
33,1054,72,4.31,0,,,6
944,1101,86,7.51,0,,,47
944,1101,86,7.54,0,,,47
280,1014,86,5.77,0,,,20
280,1014,86,5.76,0,,,20
415,1088,108,7.76,0,,,37
415,1088,108,7.72,0,,,37
1052,1119,108,9.01,0,,,60
944,1101,86,7.59,0,,,47
949,1232,156,14.81,0,,,22
33,982,74,4.2,0,,,6
