NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
426,922,112,10.91,0,,,24
89,953,118,9.67,0,,,14
426,922,112,10.69,0,,,24
3,935,112,6.39,0,,,1
3,935,112,6.42,0,,,1
3,935,112,6.36,0,,,1
3,919,112,6.13,0,,,1
3,910,108,6.41,0,,,1
3,935,112,6.48,0,,,1
,917,110,6.33,0,,,0
,933,110,6.17,0,,,0
89,953,118,9.52,0,,,14
367,938,116,12.86,0,,,27
,902,116,6.27,0,,,0
,895,104,6.26,0,,,0
89,953,118,9.64,0,,,14
383,936,116,14.21,0,,,29
3,910,108,6.28,0,,,1
97,939,118,8.32,0,,,9
,903,116,6.15,0,,,0
3,935,112,6.39,0,,,1
426,922,112,10.6,0,,,24
426,922,112,10.7,0,,,24
15,929,114,6.61,0,,,2
,895,104,6.41,0,,,0
89,953,118,9.53,0,,,14
89,953,118,9.64,0,,,14
100,929,114,8.05,0,,,13
,908,106,6.27,0,,,0
360,936,116,13.21,0,,,26
