NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
,206,8,1.97,1,,,0
,206,8,2.07,1,,,0
,206,8,1.81,1,,,0
,206,8,1.88,1,,,0
,206,8,1.98,1,,,0
,206,8,1.87,1,,,0
,206,8,1.78,1,,,0
,206,8,1.88,1,,,0
,206,8,1.79,1,,,0
,206,8,1.89,1,,,0
,206,8,1.77,1,,,0
,206,8,1.92,1,,,0
,206,8,2.03,1,,,0
,206,8,1.96,1,,,0
,206,8,1.8,1,,,0
,206,8,1.88,1,,,0
,206,8,1.91,1,,,0
,206,8,1.94,1,,,0
,206,8,1.89,1,,,0
,206,8,1.86,1,,,0
,206,8,1.88,1,,,0
,206,8,2.09,1,,,0
,206,8,2.06,1,,,0
,206,8,2.02,1,,,0
,206,8,1.82,1,,,0
,206,8,1.81,1,,,0
,206,8,1.94,1,,,0
,206,8,2.07,1,,,0
,206,8,1.77,1,,,0
,206,8,1.83,1,,,0
