NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL
270,1396,1294,27.87,0,,,19,63206,13300,1147.0,12,3716,76735,60.37,0.67,240,13.33,0.886,0.746,0.716,15039,3746,766,4.111,253,934,0.14,223,23,1553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,1448,1546,27.76,0,,,25,8831,996,2319.0,17,922,10205,92.76,0.71,211,8.79,0.629,0.774,0.855,3150,1892,575,1.962,243,740,0.27,223,36,1751
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1516,1424,27.96,0,,,20,72154,15444,1688.0,14,4096,87767,84.4,0.74,168,8.84,0.886,0.81,0.788,25400,2737,473,2.006,246,714,0.11,223,25,1708
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,1448,1546,27.88,0,,,25,8831,996,2319.0,17,922,10205,92.76,0.71,211,8.79,0.629,0.774,0.855,3150,1892,575,1.745,243,740,0.27,223,36,1751
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,1429,1520,27.68,0,,,25,8831,996,2319.0,18,922,10205,92.76,0.72,218,8.72,0.629,0.763,0.841,3072,1892,575,1.933,243,740,0.27,223,36,1721
252,1448,1546,27.83,0,,,25,8831,996,2319.0,17,922,10205,92.76,0.71,211,8.79,0.629,0.774,0.855,3150,1892,575,1.905,243,740,0.27,223,36,1751
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,1448,1546,27.8,0,,,25,8831,996,2319.0,17,922,10205,92.76,0.71,211,8.79,0.629,0.774,0.855,3150,1892,575,1.994,243,740,0.27,223,36,1751
252,1448,1546,27.89,0,,,25,8831,996,2319.0,17,922,10205,92.76,0.71,211,8.79,0.629,0.774,0.855,3150,1892,575,1.881,243,740,0.27,223,36,1751
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,1497,1398,27.63,0,,,20,72154,15444,1688.0,15,4096,87767,84.4,0.75,175,8.75,0.886,0.8,0.773,23621,2737,473,1.717,246,714,0.11,223,25,1678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,1423,1520,27.67,0,,,24,8749,993,2114.0,17,903,10112,88.08,0.71,211,8.79,0.629,0.76,0.841,3063,1843,558,1.779,243,740,0.28,223,35,1718
261,1472,1572,27.86,0,,,26,8982,1002,2534.0,18,955,10376,97.46,0.72,218,8.72,0.629,0.786,0.869,3230,1983,592,1.813,243,740,0.27,223,36,1782
279,1420,1320,27.93,0,,,20,66269,13947,1274.0,13,3925,80460,63.7,0.68,247,13.0,0.886,0.759,0.73,16573,4054,808,4.077,253,1026,0.15,223,23,1584
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1134,1120,28.05,0,,,23,34357,6237,807.0,5,2156,41092,35.09,0.23,177,8.05,0.743,0.606,0.619,2703,2110,168,1.603,209,245,0.11,223,31,1300
