NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL
13,10204,14204,896.54,0,,,3,361603,6313,48.0,3,18600,377891,16.0,1.5,9,4.5,0.274,0.871,0.952,204356,189,13,652.09,202,32,0.0,7932,2064,14522
,10408,12472,918.67,0,,,0,12804414,2876229,,,674553,15683442,,,,,0.917,0.888,0.835,12807214,,,14.197,202,0,0.0,7297,1770,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9996,14062,899.49,0,,,2,28421,4608,30.0,3,143,33144,15.0,3.0,9,9.0,0.155,0.853,0.942,14273,16,12,656.763,202,15,0.07,3462,1523,14216
,11048,14756,921.17,0,,,0,13276545,2972717,,,471721,16454995,,,,,0.679,0.943,0.988,13482278,,,9.049,202,0,0.0,205770,102106,
,11568,14842,915.44,0,,,0,12717097,2856147,,,655079,15573368,,,,,0.917,0.987,0.994,12717221,,,63.941,202,0,0.0,3462,124,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9996,14062,900.79,0,,,2,28421,4608,30.0,3,143,33144,15.0,3.0,9,9.0,0.155,0.853,0.942,14273,16,12,648.235,202,15,0.07,3462,1523,14216
,10408,12472,912.81,0,,,0,12834400,2883553,,,675250,15720422,,,,,0.917,0.888,0.835,12836870,,,26.286,202,0,0.0,7297,1770,
,11568,14842,909.12,0,,,0,12702804,2852887,,,654332,15555784,,,,,0.917,0.987,0.994,12702897,,,11.022,202,0,0.0,3462,124,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11568,14842,919.94,0,,,0,12697183,2851648,,,654023,15548909,,,,,0.917,0.987,0.994,12697260,,,10.602,202,0,0.0,3462,95,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10194,14206,899.44,0,,,2,323370,4774,32.0,3,7816,332012,16.0,3.0,9,9.0,0.238,0.87,0.952,164435,130,13,714.319,202,32,0.0,3462,1736,14517
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10408,12472,912.22,0,,,0,12849693,2887286,,,675606,15739265,,,,,0.917,0.888,0.835,12851978,,,11.471,202,0,0.0,7297,1773,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10408,12472,906.59,0,,,0,12843743,2885832,,,675468,15731924,,,,,0.917,0.888,0.835,12846093,,,12.375,202,0,0.0,7297,1772,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11048,14756,895.85,0,,,0,13148102,2943607,,,467241,16295375,,,,,0.679,0.943,0.988,13351767,,,35.158,202,0,0.0,203690,101103,
13,10254,14206,904.01,0,,,2,466008,7799,32.0,3,51329,502539,16.0,3.0,9,9.0,0.321,0.875,0.952,247377,130,13,715.15,202,30,0.0,14367,3617,14534
,10408,12472,922.01,0,,,0,12844708,2886069,,,675490,15733122,,,,,0.917,0.888,0.835,12847054,,,44.369,202,0,0.0,7297,1772,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11568,14842,899.41,0,,,0,12687444,2849465,,,653533,15537033,,,,,0.917,0.987,0.994,12687567,,,39.038,202,0,0.0,3462,124,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
