NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
1751,5097,382,34.81,1,,,59
1800,5097,382,30.18,1,,,61
1809,5097,382,28.47,1,,,59
1748,5097,382,34.3,1,,,58
1907,5097,382,36.36,1,,,60
1907,5097,382,34.26,1,,,60
1815,5097,382,35.67,1,,,59
1870,5097,382,49.22,1,,,72
1907,5097,382,33.84,1,,,60
1772,5097,382,128.28,1,,,59
1829,5097,382,185.08,1,,,60
1818,5097,382,32.74,1,,,60
1751,5097,382,35.42,1,,,59
1870,5097,382,51.15,1,,,72
1751,5097,382,34.14,1,,,59
1818,5097,382,34.0,1,,,60
1818,5097,382,32.36,1,,,60
1907,5097,382,32.82,1,,,60
1788,5097,382,25.93,1,,,59
1907,5097,382,33.49,1,,,60
1751,5097,382,33.44,1,,,59
1800,5097,382,30.25,1,,,61
1907,5097,382,34.3,1,,,60
1800,5097,382,29.12,1,,,61
1791,5097,382,24.96,1,,,60
1751,5097,382,35.81,1,,,59
1751,5097,382,35.45,1,,,59
1800,5097,382,30.03,1,,,61
1751,5097,382,34.29,1,,,59
1867,5097,382,43.91,1,,,68
