NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
70,826,30,3.68,1,,,5
70,826,30,3.74,1,,,5
70,826,30,4.06,1,,,5
70,826,30,3.77,1,,,5
70,826,30,4.12,1,,,5
70,826,30,3.8,1,,,5
70,826,30,3.98,1,,,5
70,826,30,3.59,1,,,5
70,826,30,3.96,1,,,5
70,826,30,3.95,1,,,5
70,826,30,3.6,1,,,5
70,826,30,3.99,1,,,5
70,826,30,3.84,1,,,5
70,826,30,4.04,1,,,5
70,826,30,3.75,1,,,5
70,826,30,3.85,1,,,5
70,826,30,3.59,1,,,5
70,826,30,3.84,1,,,5
70,826,30,3.76,1,,,5
70,826,30,3.72,1,,,5
70,826,30,3.74,1,,,5
70,826,30,3.73,1,,,5
70,826,30,3.82,1,,,5
70,826,30,3.86,1,,,5
70,826,30,3.75,1,,,5
70,826,30,3.66,1,,,5
70,826,30,3.87,1,,,5
70,826,30,3.93,1,,,5
70,826,30,3.58,1,,,5
70,826,30,3.72,1,,,5
