NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
,528,2,2.51,1,,,0
,528,2,2.58,1,,,0
,528,2,2.7,1,,,0
,528,2,2.61,1,,,0
,528,2,2.56,1,,,0
,528,2,2.57,1,,,0
,528,2,2.6,1,,,0
,528,2,2.53,1,,,0
,528,2,2.63,1,,,0
,528,2,2.54,1,,,0
,528,2,2.54,1,,,0
,528,2,2.59,1,,,0
,528,2,2.56,1,,,0
,528,2,2.56,1,,,0
,528,2,2.48,1,,,0
,528,2,2.51,1,,,0
,528,2,2.64,1,,,0
,528,2,2.52,1,,,0
,528,2,2.61,1,,,0
,528,2,2.58,1,,,0
,528,2,2.57,1,,,0
,528,2,2.52,1,,,0
,528,2,2.51,1,,,0
,528,2,2.5,1,,,0
,528,2,2.57,1,,,0
,528,2,2.52,1,,,0
,528,2,3.01,1,,,0
,528,2,2.54,1,,,0
,528,2,2.55,1,,,0
,528,2,2.48,1,,,0
