NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL
0,8186,12984,27.01,0,,,1,13233,2368,14.0,0,122,15710,14.0,0.0,0,0.0,0.308,0.919,0.973,13343,,,0.065,202,0,0.0,3589,1646,13238
0,8316,13064,26.92,0,,,1,24165,4104,14.0,0,1506,28994,14.0,0.0,0,0.0,0.615,0.933,0.979,24891,,,0.092,202,0,0.0,3589,1132,13386
,8578,13134,26.28,0,,,0,286171,52973,,,35243,339362,,,,,0.846,0.963,0.984,286389,,,0.769,202,0,0.0,3589,254,13704
,8576,13132,26.41,0,,,0,156465,28904,,,18489,185593,,,,,0.846,0.963,0.984,156688,,,0.716,202,0,0.0,3589,280,13701
0,8186,12984,26.7,0,,,1,13233,2368,14.0,0,122,15710,14.0,0.0,0,0.0,0.308,0.919,0.973,13343,,,0.086,202,0,0.0,3589,1646,13238
0,8186,12984,26.93,0,,,1,13233,2368,14.0,0,122,15710,14.0,0.0,0,0.0,0.308,0.919,0.973,13343,,,0.038,202,0,0.0,3589,1646,13238
0,8186,12984,26.54,0,,,1,13233,2368,14.0,0,122,15710,14.0,0.0,0,0.0,0.308,0.919,0.973,13343,,,0.061,202,0,0.0,3589,1646,13238
0,8189,12984,26.54,0,,,1,13449,2368,14.0,0,230,15926,14.0,0.0,0,0.0,0.385,0.919,0.973,13559,,,0.047,202,0,0.0,3589,1622,13244
0,8577,13132,26.51,0,,,1,108269,20116,14.0,0,12394,128494,14.0,0.0,0,0.0,0.897,0.963,0.984,108379,,,0.618,202,0,0.0,3589,304,13706
0,8313,13062,26.87,0,,,1,24141,4096,14.0,0,1498,28966,14.0,0.0,0,0.0,0.615,0.933,0.978,24871,,,0.094,202,0,0.0,3589,1134,13383
0,8577,13132,26.7,0,,,1,108269,20116,14.0,0,12394,128494,14.0,0.0,0,0.0,0.897,0.963,0.984,108379,,,0.429,202,0,0.0,3589,304,13706
0,8186,12984,26.71,0,,,1,13233,2368,14.0,0,122,15710,14.0,0.0,0,0.0,0.308,0.919,0.973,13343,,,0.046,202,0,0.0,3589,1646,13238
0,8313,13062,26.76,0,,,1,24141,4096,14.0,0,1498,28966,14.0,0.0,0,0.0,0.615,0.933,0.978,24871,,,0.118,202,0,0.0,3589,1134,13383
,8578,13134,26.41,0,,,0,241804,44707,,,29545,286690,,,,,0.846,0.963,0.984,241983,,,0.714,202,0,0.0,3589,237,13704
,8214,12342,26.87,0,,,0,605684,113099,,,77359,718925,,,,,0.846,0.922,0.924,605825,,,0.892,202,0,0.0,3589,158,12941
,8214,12342,26.4,0,,,0,597829,111633,,,76331,709611,,,,,0.846,0.922,0.924,597978,,,1.206,202,0,0.0,3589,158,12941
0,8186,12984,26.48,0,,,1,13233,2368,14.0,0,122,15710,14.0,0.0,0,0.0,0.308,0.919,0.973,13343,,,0.058,202,0,0.0,3589,1646,13238
0,8186,12984,26.67,0,,,1,13233,2368,14.0,0,122,15710,14.0,0.0,0,0.0,0.308,0.919,0.973,13343,,,0.039,202,0,0.0,3589,1646,13238
0,8313,13062,26.22,0,,,1,24141,4096,14.0,0,1498,28966,14.0,0.0,0,0.0,0.615,0.933,0.978,24871,,,0.128,202,0,0.0,3589,1134,13383
0,8316,13064,26.81,0,,,1,24165,4104,14.0,0,1506,28994,14.0,0.0,0,0.0,0.615,0.933,0.979,24891,,,0.132,202,0,0.0,3589,1132,13386
,8580,13136,26.6,0,,,0,329177,60876,,,40781,390242,,,,,0.846,0.963,0.984,329367,,,0.834,202,0,0.0,3589,219,13707
0,8186,12984,26.58,0,,,1,13233,2368,14.0,0,122,15710,14.0,0.0,0,0.0,0.308,0.919,0.973,13343,,,0.081,202,0,0.0,3589,1646,13238
0,8186,12984,26.78,0,,,1,13233,2368,14.0,0,122,15710,14.0,0.0,0,0.0,0.308,0.919,0.973,13343,,,0.073,202,0,0.0,3589,1646,13238
,8186,12314,25.6,0,,,0,274563,51291,,,34199,325975,,,,,0.846,0.919,0.922,274684,,,0.774,202,0,0.0,3589,194,12899
,8204,12332,26.15,0,,,0,477368,89168,,,60608,566650,,,,,0.846,0.921,0.924,477483,,,0.899,202,0,0.0,3589,165,12926
0,8316,13064,26.68,0,,,1,24165,4104,14.0,0,1506,28994,14.0,0.0,0,0.0,0.615,0.933,0.979,24891,,,0.203,202,0,0.0,3589,1132,13386
0,8186,12984,26.89,0,,,1,13233,2368,14.0,0,122,15710,14.0,0.0,0,0.0,0.308,0.919,0.973,13343,,,0.045,202,0,0.0,3589,1646,13238
0,8216,12984,26.84,0,,,1,13665,2368,14.0,0,338,16142,14.0,0.0,0,0.0,0.436,0.922,0.973,13775,,,0.112,202,0,0.0,3589,1598,13249
0,8216,12984,25.98,0,,,1,13665,2368,14.0,0,338,16142,14.0,0.0,0,0.0,0.436,0.922,0.973,13775,,,0.084,202,0,0.0,3589,1598,13249
0,8313,13062,26.65,0,,,1,24141,4096,14.0,0,1498,28966,14.0,0.0,0,0.0,0.615,0.933,0.978,24871,,,0.091,202,0,0.0,3589,1134,13383
