NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
,93,4,1.68,1,,,0
,93,4,1.65,1,,,0
,93,4,1.63,1,,,0
,93,4,1.62,1,,,0
,93,4,1.63,1,,,0
,93,4,1.56,1,,,0
,93,4,1.59,1,,,0
,93,4,1.56,1,,,0
,93,4,1.62,1,,,0
,93,4,1.61,1,,,0
,93,4,1.64,1,,,0
,93,4,1.61,1,,,0
,93,4,1.64,1,,,0
,93,4,1.61,1,,,0
,93,4,1.58,1,,,0
,93,4,1.62,1,,,0
,93,4,1.57,1,,,0
,93,4,1.66,1,,,0
,93,4,1.96,1,,,0
,93,4,1.65,1,,,0
,93,4,1.65,1,,,0
,93,4,1.62,1,,,0
,93,4,1.65,1,,,0
,93,4,1.61,1,,,0
,93,4,1.58,1,,,0
,93,4,1.64,1,,,0
,93,4,1.63,1,,,0
,93,4,1.61,1,,,0
,93,4,1.58,1,,,0
,93,4,1.58,1,,,0
