NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
26,161,18,2.22,1,,,4
26,161,18,2.19,1,,,4
23,161,18,2.16,1,,,3
28,161,18,2.13,1,,,4
28,161,18,2.17,1,,,4
26,161,18,2.23,1,,,4
26,161,18,2.01,1,,,4
26,161,18,2.06,1,,,4
26,161,18,2.26,1,,,4
26,161,18,2.06,1,,,4
26,161,18,2.14,1,,,4
26,161,18,2.15,1,,,4
26,161,18,2.19,1,,,4
28,161,18,2.21,1,,,4
26,161,18,2.16,1,,,4
21,161,18,2.05,1,,,3
26,161,18,2.26,1,,,4
23,161,18,2.18,1,,,3
23,161,18,2.25,1,,,3
26,161,18,2.25,1,,,4
26,161,18,2.19,1,,,4
26,161,18,2.37,1,,,4
21,161,18,2.06,1,,,3
26,161,18,2.01,1,,,4
26,161,18,2.09,1,,,4
28,161,18,2.21,1,,,4
26,161,18,2.18,1,,,4
28,161,18,2.11,1,,,4
26,161,18,2.09,1,,,4
23,161,18,2.05,1,,,3
