NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
128,870,34,4.25,1,,,12
128,870,34,4.18,1,,,12
128,870,34,4.04,1,,,12
128,870,34,3.76,1,,,12
125,870,34,3.97,1,,,11
128,870,34,4.33,1,,,12
128,870,34,4.29,1,,,12
128,870,34,4.08,1,,,12
128,870,34,4.46,1,,,12
128,870,34,4.26,1,,,12
128,870,34,3.62,1,,,12
128,870,34,4.01,1,,,12
128,870,34,3.74,1,,,12
128,870,34,4.15,1,,,12
128,870,34,3.73,1,,,12
128,870,34,4.15,1,,,12
128,870,34,3.8,1,,,12
128,870,34,4.23,1,,,12
128,870,34,4.41,1,,,12
128,870,34,4.45,1,,,12
128,870,34,4.09,1,,,12
128,870,34,4.23,1,,,12
128,870,34,4.27,1,,,12
128,870,34,3.85,1,,,12
128,870,34,4.28,1,,,12
128,870,34,3.81,1,,,12
128,870,34,4.17,1,,,12
128,870,34,3.74,1,,,12
128,870,34,3.95,1,,,12
128,870,34,4.09,1,,,12
