NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
65,844,40,3.1,1,,,5
86,844,40,3.18,1,,,6
86,844,40,3.11,1,,,6
65,844,40,3.26,1,,,5
86,844,40,3.12,1,,,6
65,844,40,3.24,1,,,5
86,844,40,3.17,1,,,6
86,844,40,3.21,1,,,6
86,844,40,3.19,1,,,6
86,844,40,3.21,1,,,6
86,844,40,3.14,1,,,6
86,844,40,3.16,1,,,6
65,844,40,3.26,1,,,5
86,844,40,3.19,1,,,6
65,844,40,3.3,1,,,5
86,844,40,3.44,1,,,6
65,844,40,3.09,1,,,5
86,844,40,3.44,1,,,6
65,844,40,3.22,1,,,5
65,844,40,3.12,1,,,5
86,844,40,3.1,1,,,6
86,844,40,3.21,1,,,6
86,844,40,3.15,1,,,6
65,844,40,3.19,1,,,5
65,844,40,3.28,1,,,5
86,844,40,3.19,1,,,6
65,844,40,3.32,1,,,5
65,844,40,3.05,1,,,5
86,844,40,3.43,1,,,6
65,844,40,3.74,1,,,5
