NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
2436,1286,30,20.19,0,,,121,47087,2666,5387.0,34,13870,53042,44.52,0.28,2281,18.85,0.023,0.172,0.017,202,40580,10196,8.78,1110,5087,0.19,58,22,117,9.514,5.464
5277,1405,48,20.91,0,,,71,44331,831,5693.0,65,15407,50056,80.18,0.93,5142,73.46,0.059,0.188,0.027,804,151989,14858,12.296,1672,5421,0.3,78,24,261,13.007,3.77
5441,1398,48,21.38,0,,,77,48351,906,6196.0,65,16717,54616,80.47,0.84,5299,68.82,0.057,0.187,0.027,767,167002,19859,13.062,2374,7012,0.34,78,25,257,13.76,3.518
1770,1229,16,21.51,0,,,123,51692,3249,5915.0,48,14986,58204,48.09,0.39,1599,13.0,0.011,0.164,0.009,49,37031,5853,8.018,1458,4214,0.18,87,37,49,9.051,6.394
160,1808,284,21.33,0,,,20,107997,11101,408.0,0,25773,123400,20.4,0.0,140,7.0,0.163,0.242,0.158,1920,7658,179,3.329,209,228,0.01,299,190,833,4.98,11.517
151,1934,362,21.82,0,,,29,76435,4775,559.0,0,19046,89090,19.28,0.0,122,4.21,0.172,0.259,0.201,2251,19388,1199,4.88,478,1811,0.09,279,140,1017,6.206,11.599
102,2983,602,21.13,0,,,12,108949,9654,209.0,1,29962,122426,17.42,0.08,89,7.42,0.336,0.399,0.334,14248,5205,154,2.99,231,255,0.01,626,258,2118,4.92,12.087
109,2114,422,21.04,0,,,21,83290,5413,403.0,0,19755,96870,19.19,0.0,88,4.19,0.178,0.283,0.234,2742,14195,657,4.471,337,1002,0.05,435,193,1223,5.876,11.206
102,1142,0,21.08,0,,,12,95205,8431,209.0,1,26215,106942,17.42,0.08,89,7.42,0.002,0.153,0.0,3,4174,97,2.723,213,163,0.01,486,236,3,4.308,11.915
102,1633,254,21.41,0,,,12,95765,8464,209.0,1,26296,107629,17.42,0.08,89,7.42,0.083,0.218,0.141,656,4239,126,2.958,219,163,0.01,486,235,630,4.875,12.248
1895,1367,54,21.81,0,,,130,58883,3728,6411.0,48,17127,66278,49.32,0.37,1717,13.21,0.039,0.183,0.03,641,44787,6847,7.984,2568,4819,0.18,87,38,223,8.848,6.819
165,1920,308,20.91,0,,,20,106991,11040,413.0,0,25010,122375,20.65,0.0,145,7.25,0.237,0.257,0.171,3380,7599,191,3.422,209,238,0.01,305,195,1015,5.324,10.836
154,1209,0,21.15,0,,,21,92674,8041,420.0,0,24688,105742,20.0,0.0,133,6.33,0.005,0.162,0.0,13,9181,342,3.807,251,469,0.02,321,205,13,5.487,11.349
5388,1423,48,21.38,0,,,75,46993,881,6020.0,65,16282,53076,80.27,0.87,5248,69.97,0.063,0.19,0.027,634,161865,18002,12.555,2059,6269,0.32,78,24,267,13.189,3.822
170,1809,290,21.5,0,,,25,118746,10356,500.0,0,31282,135553,20.0,0.0,145,5.8,0.144,0.242,0.161,2462,14545,588,4.207,305,844,0.02,321,209,823,5.947,10.995
134,1922,364,21.53,0,,,16,90191,8335,318.0,0,22069,102605,19.88,0.0,118,7.38,0.203,0.257,0.202,2596,5656,124,3.121,205,171,0.01,387,223,1077,4.962,12.295
135,1843,322,21.64,0,,,19,111415,9915,352.0,1,25468,129202,18.53,0.05,115,6.05,0.131,0.246,0.179,1133,11362,400,3.953,310,552,0.02,579,250,883,5.535,11.631
4,2364,422,21.15,0,,,1,44698,4268,331.0,0,14085,49052,331.0,0.0,3,3.0,0.174,0.316,0.234,14054,10,4,1.078,202,11,0.0,55,44,1488,2.697,15.125
125,2408,464,21.1,0,,,15,85955,7966,295.0,0,21136,97761,19.67,0.0,110,7.33,0.25,0.322,0.257,5319,5249,120,2.918,205,171,0.01,387,223,1462,4.57,12.184
5383,1404,50,21.47,0,,,74,46875,877,5937.0,65,16241,52946,80.23,0.88,5244,70.86,0.061,0.188,0.028,978,161296,17931,12.729,2024,6458,0.33,78,24,264,13.397,3.713
118,1207,0,21.87,0,,,22,84982,5492,421.0,0,20244,98826,19.14,0.0,96,4.36,0.005,0.161,0.0,12,14712,657,4.703,337,1002,0.05,435,195,12,6.311,11.617
102,2790,538,20.93,0,,,12,105956,9312,209.0,1,29060,119184,17.42,0.08,89,7.42,0.312,0.373,0.299,11351,5081,152,2.907,231,255,0.01,599,249,1849,4.594,11.99
2312,1373,54,21.38,0,,,117,45862,2595,5125.0,32,13456,51675,43.8,0.27,2163,18.49,0.039,0.184,0.03,445,38875,9713,9.218,1053,4768,0.18,58,22,223,10.145,5.911
5378,1398,48,21.18,0,,,73,46096,864,5854.0,65,15979,52060,80.19,0.89,5240,71.78,0.059,0.187,0.027,622,158568,17716,12.793,1854,6167,0.32,78,24,256,13.521,3.726
1770,1369,54,21.67,0,,,123,52479,3292,5915.0,48,15200,59099,48.09,0.39,1599,13.0,0.039,0.183,0.03,859,38346,6247,8.048,1538,4185,0.18,87,37,223,9.104,6.403
40,3822,820,20.82,0,,,10,71669,6421,501.0,0,22568,78431,50.1,0.0,30,3.0,0.336,0.511,0.455,34274,688,113,1.633,223,197,0.01,63,35,3155,2.911,14.53
2844,1286,30,21.0,0,,,127,50882,2869,5801.0,40,15089,57316,45.68,0.31,2677,21.08,0.023,0.172,0.017,171,48294,13287,9.582,1230,5827,0.2,58,21,117,10.588,5.341
111,1494,150,21.57,0,,,13,110458,9845,228.0,1,30245,124178,17.54,0.08,97,7.46,0.063,0.2,0.083,421,5275,164,2.827,231,262,0.01,626,259,405,4.751,12.454
160,1360,72,21.35,0,,,20,106635,11013,408.0,0,25525,121778,20.4,0.0,140,7.0,0.031,0.182,0.04,390,7509,179,3.351,209,224,0.01,299,191,221,5.219,11.138
134,2477,466,21.3,0,,,16,92382,8614,318.0,0,22599,105031,19.88,0.0,118,7.38,0.255,0.331,0.259,4743,5794,124,3.229,205,175,0.01,387,222,1500,5.007,12.181
