NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
11027,6,6,900.3,0,,,148
11176,6,6,900.3,0,,,149
11027,9,8,900.33,0,,,148
11027,10,8,900.29,0,,,148
11027,6,6,900.31,0,,,148
11027,6,6,900.32,0,,,148
11027,6,6,900.3,0,,,148
11027,10,8,900.26,0,,,148
11027,6,6,900.3,0,,,148
11027,9,8,900.27,0,,,148
11176,6,6,900.34,0,,,149
11027,10,8,900.36,0,,,148
11027,10,8,900.33,0,,,148
11027,6,6,900.26,0,,,148
11027,6,6,900.31,0,,,148
11027,6,6,900.31,0,,,148
11176,10,8,900.3,0,,,149
11027,9,8,900.32,0,,,148
,,,,,,,
11027,10,8,900.28,0,,,149
11176,6,6,900.34,0,,,149
11176,10,8,900.32,0,,,149
11027,6,6,900.34,0,,,148
11176,10,8,900.3,0,,,149
11027,6,6,900.33,0,,,148
11176,5,4,900.32,0,,,149
11176,6,6,900.32,0,,,149
11176,6,6,900.36,0,,,149
11176,10,8,900.33,0,,,149
11027,10,8,900.32,0,,,148
